file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/androidTest/java/com/ittianyu/bottomnavigationviewex/ExampleInstrumentedTest.java,com.ittianyu.bottomnavigationviewex.ExampleInstrumentedTest,useAppContext/0,appContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/centerfab/CenterFabActivity.java,com.ittianyu.bottomnavigationviewexsample.features.centerfab.CenterFabActivity$VpAdapter,getItem/1[int],position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/centerfab/CenterFabActivity.java,com.ittianyu.bottomnavigationviewexsample.features.centerfab.CenterFabActivity$VpAdapter,"VpAdapter/2[com.ittianyu.bottomnavigationviewexsample.features.centerfab.FragmentManager,java.util.List<com.ittianyu.bottomnavigationviewexsample.features.centerfab.Fragment>]",data,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/centerfab/CenterFabActivity.java,com.ittianyu.bottomnavigationviewexsample.features.centerfab.CenterFabActivity$VpAdapter,"VpAdapter/2[com.ittianyu.bottomnavigationviewexsample.features.centerfab.FragmentManager,java.util.List<com.ittianyu.bottomnavigationviewexsample.features.centerfab.Fragment>]",fm,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$VpAdapter,"VpAdapter/2[com.ittianyu.bottomnavigationviewexsample.features.viewpager.FragmentManager,java.util.List<com.ittianyu.bottomnavigationviewexsample.features.viewpager.Fragment>]",data,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$VpAdapter,"VpAdapter/2[com.ittianyu.bottomnavigationviewexsample.features.viewpager.FragmentManager,java.util.List<com.ittianyu.bottomnavigationviewexsample.features.viewpager.Fragment>]",fm,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$VpAdapter,getItem/1[int],position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/main/java/com/ittianyu/bottomnavigationviewex/BottomNavigationViewInner.java,com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner$BottomNavigationViewExOnPageChangeListener,onPageSelected/1[int],bnve,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/main/java/com/ittianyu/bottomnavigationviewex/BottomNavigationViewInner.java,com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner$BottomNavigationViewExOnPageChangeListener,onPageSelected/1[int],position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/main/java/com/ittianyu/bottomnavigationviewex/BottomNavigationViewInner.java,com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner$BottomNavigationViewExOnPageChangeListener,BottomNavigationViewExOnPageChangeListener/1[com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner],bnve,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/main/java/com/ittianyu/bottomnavigationviewex/BottomNavigationViewInner.java,com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner$BottomNavigationViewExOnPageChangeListener,onPageScrollStateChanged/1[int],state,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/main/java/com/ittianyu/bottomnavigationviewex/BottomNavigationViewInner.java,com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner$BottomNavigationViewExOnPageChangeListener,"onPageScrolled/3[int,float,int]",positionOffsetPixels,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/main/java/com/ittianyu/bottomnavigationviewex/BottomNavigationViewInner.java,com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner$BottomNavigationViewExOnPageChangeListener,"onPageScrolled/3[int,float,int]",position,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/widget/src/main/java/com/ittianyu/bottomnavigationviewex/BottomNavigationViewInner.java,com.ittianyu.bottomnavigationviewex.BottomNavigationViewInner$BottomNavigationViewExOnPageChangeListener,"onPageScrolled/3[int,float,int]",positionOffset,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/badgeview/BadgeViewActivity.java,com.ittianyu.bottomnavigationviewexsample.features.badgeview.BadgeViewActivity,onCreate/1[com.ittianyu.bottomnavigationviewexsample.features.badgeview.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/badgeview/BadgeViewActivity.java,com.ittianyu.bottomnavigationviewexsample.features.badgeview.BadgeViewActivity,"addBadgeAt/2[int,int]",number,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/badgeview/BadgeViewActivity.java,com.ittianyu.bottomnavigationviewexsample.features.badgeview.BadgeViewActivity,"addBadgeAt/2[int,int]",position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/androidTest/java/com/ittianyu/bottomnavigationviewexsample/ExampleInstrumentedTest.java,com.ittianyu.bottomnavigationviewexsample.ExampleInstrumentedTest,useAppContext/0,appContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$Anonymous1,onNavigationItemSelected/1[com.ittianyu.bottomnavigationviewexsample.features.viewpager.MenuItem],item,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$Anonymous1,onNavigationItemSelected/1[com.ittianyu.bottomnavigationviewexsample.features.viewpager.MenuItem],position,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$Anonymous2,onPageScrollStateChanged/1[int],state,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$Anonymous2,"onPageScrolled/3[int,float,int]",positionOffsetPixels,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$Anonymous2,"onPageScrolled/3[int,float,int]",position,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/BottomNavigationViewEx/app/src/main/java/com/ittianyu/bottomnavigationviewexsample/features/viewpager/WithViewPagerActivity.java,com.ittianyu.bottomnavigationviewexsample.features.viewpager.WithViewPagerActivity$Anonymous2,"onPageScrolled/3[int,float,int]",positionOffset,0
