file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,getAccount/1[long],restClient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,getAccount/1[long],GET_ACCOUNT_PATH,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,toString/0,stateId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,getAllTransitions/0,eventTransitions,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,"addTransition/3[E,com.alibaba.cola.statemachine.State<S,E,C>,com.alibaba.cola.statemachine.impl.TransitionType]",eventTransitions,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,getEventTransitions/1[E],eventTransitions,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,equals/1[java.lang.Object],stateId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,StateImpl/1[S],stateId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,getId/0,stateId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/test/java/com/huawei/charging/domain/CompositeChargeRuleTestRecord.java,com.huawei.charging.domain.CompositeChargeRuleTestRecord,test_all_charge_rule/0,calledPhoneNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/test/java/com/huawei/charging/domain/CompositeChargeRuleTestRecord.java,com.huawei.charging.domain.CompositeChargeRuleTestRecord,test_all_charge_rule/0,callingPhoneNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/test/java/com/huawei/charging/domain/CompositeChargeRuleTestRecord.java,com.huawei.charging.domain.CompositeChargeRuleTestRecord,test_basic_and_family_charge_rule/0,calledPhoneNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/test/java/com/huawei/charging/domain/CompositeChargeRuleTestRecord.java,com.huawei.charging.domain.CompositeChargeRuleTestRecord,test_basic_and_family_charge_rule/0,callingPhoneNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/test/java/com/huawei/charging/domain/CompositeChargeRuleTestRecord.java,com.huawei.charging.domain.CompositeChargeRuleTestRecord,test_basic_and_fixedTime_charge_rule/0,calledPhoneNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/test/java/com/huawei/charging/domain/CompositeChargeRuleTestRecord.java,com.huawei.charging.domain.CompositeChargeRuleTestRecord,test_basic_and_fixedTime_charge_rule/0,callingPhoneNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-ruleengine/src/main/java/com/alibaba/cola/ruleengine/core/DefaultRuleEngine.java,com.alibaba.cola.ruleengine.core.DefaultRuleEngine,"fire/2[com.alibaba.cola.ruleengine.api.Rule,com.alibaba.cola.ruleengine.api.Facts]",LOGGER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,setMainMetric/1[java.lang.String],mainMetric,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,getId/0,id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,setMetricItem/1[java.lang.String],metricItem,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,setUserId/1[java.lang.String],userId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,getMainMetric/0,mainMetric,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,setSubMetric/1[java.lang.String],subMetric,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,getSubMetric/0,subMetric,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,getMetricItem/0,metricItem,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,setId/1[java.lang.String],id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-infrastructure/src/main/java/com/alibaba/craftsman/gatewayimpl/database/dataobject/MetricDO.java,com.alibaba.craftsman.gatewayimpl.database.dataobject.MetricDO,getUserId/0,userId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/builder/TransitionsBuilderImpl.java,com.alibaba.cola.statemachine.builder.TransitionsBuilderImpl,on/1[E],sources,1
