file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,getAccount/1[long],false,34,1,0,0,0,1,5,4,1,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,"sync/2[long,java.util.List<$.ChargeRecord>]",false,45,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,1,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-domain-starter/src/test/java/com/alibaba/cola/domain/PurchasePowerGateway.java,com.alibaba.cola.domain.PurchasePowerGateway,getScore/0,false,14,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-domain/src/main/java/com/alibaba/craftsman/domain/metrics/techinfluence/SharingMetric.java,com.alibaba.craftsman.domain.metrics.techinfluence.SharingMetric,SharingMetric/1[com.alibaba.craftsman.domain.metrics.MainMetric],true,17,1,4,3,1,1,1,5,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-domain/src/main/java/com/alibaba/craftsman/domain/metrics/techinfluence/SharingMetric.java,com.alibaba.craftsman.domain.metrics.techinfluence.SharingMetric,SharingMetric/0,true,13,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-domain/src/main/java/com/alibaba/craftsman/domain/metrics/techinfluence/SharingMetric.java,com.alibaba.craftsman.domain.metrics.techinfluence.SharingMetric,getWeight/0,false,24,0,0,0,0,1,3,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-service/src/main/resources/archetype-resources/__rootArtifactId__-domain/src/main/java/domain/customer/Customer.java,Customer,Customer/0,true,23,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-service/src/main/resources/archetype-resources/__rootArtifactId__-domain/src/main/java/domain/customer/Customer.java,Customer,isBigCompany/0,false,26,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-service/src/main/resources/archetype-resources/__rootArtifactId__-domain/src/main/java/domain/customer/Customer.java,Customer,checkConflict/0,false,34,1,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,10,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-service/src/main/resources/archetype-resources/__rootArtifactId__-domain/src/main/java/domain/customer/Customer.java,Customer,isSME/0,false,30,0,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,checkCondition1/0,false,66,2,2,1,1,1,2,3,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,checkCondition2/0,false,70,2,2,1,1,1,2,3,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,testChoice/0,false,37,7,6,0,6,1,16,13,0,5,0,16,4,1,0,0,0,0,4,0,5,0,0,0,0,0,22,1,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,doAction/0,false,78,4,2,1,1,1,2,6,1,4,0,2,0,0,0,0,0,0,4,0,0,1,1,0,0,1,5,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,checkCondition3/0,false,74,2,2,1,1,1,2,3,1,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,2,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/main/java/com/huawei/charging/domain/charge/chargerule/FixedTimeChargeRule.java,com.huawei.charging.domain.charge.chargerule.FixedTimeChargeRule,doCharge/1[com.huawei.charging.domain.charge.ChargeContext],false,15,5,11,1,10,6,11,23,4,6,1,11,0,0,0,0,0,0,3,2,6,5,1,0,0,0,19,1,3,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,toString/0,false,83,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,getAllTransitions/0,false,56,2,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,"addTransition/3[E,com.alibaba.cola.statemachine.State<S,E,C>,com.alibaba.cola.statemachine.impl.TransitionType]",false,26,9,2,0,2,1,6,10,1,1,3,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,9,1,1,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,"addTransitions/3[E,java.util.List<com.alibaba.cola.statemachine.State<S,E,C>>,com.alibaba.cola.statemachine.impl.TransitionType]",false,40,7,1,0,1,2,2,8,1,2,3,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,10,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/main/java/com/alibaba/cola/statemachine/impl/StateImpl.java,com.alibaba.cola.statemachine.impl.StateImpl,getEventTransitions/1[E],false,51,3,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
