file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,getAccount/1[long],phoneNo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,getAccount/1[long],account,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,"sync/2[long,java.util.List<$.ChargeRecord>]",records,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-archetypes/cola-archetype-light/src/main/resources/archetype-resources/src/main/java/infrastructure/AccountGatewayImpl.java,$.AccountGatewayImpl,"sync/2[long,java.util.List<$.ChargeRecord>]",phoneNo,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/craftsman/craftsman-domain/src/main/java/com/alibaba/craftsman/domain/metrics/techinfluence/SharingMetric.java,com.alibaba.craftsman.domain.metrics.techinfluence.SharingMetric,SharingMetric/1[com.alibaba.craftsman.domain.metrics.MainMetric],parent,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,checkCondition1/0,ctx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,checkCondition2/0,ctx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,testChoice/0,stateMachine,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,testChoice/0,builder,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,testChoice/0,target3,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,testChoice/0,target2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,testChoice/0,target1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,doAction/0,ctx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,doAction/0,from,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,doAction/0,to,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,doAction/0,event,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-components/cola-component-statemachine/src/test/java/com/alibaba/cola/test/StateMachineChoiceTest.java,com.alibaba.cola.test.StateMachineChoiceTest,checkCondition3/0,ctx,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/COLA/cola-samples/charge/src/main/java/com/huawei/charging/domain/charge/chargerule/FixedTimeChargeRule.java,com.huawei.charging.domain.charge.chargerule.FixedTimeChargeRule,doCharge/1[com.huawei.charging.domain.charge.ChargeContext],fixedTimeChangePlan,1
