file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,parentIsToolbarV7/1[uk.co.chrisjenx.calligraphy.View],view,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreated/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",view,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreated/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreated/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreatedInternal/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",deferred,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreatedInternal/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",view,13
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreatedInternal/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",setTypeface,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreatedInternal/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",textViewFont,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreatedInternal/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",context,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Calligraphy/calligraphy/src/main/java/uk/co/chrisjenx/calligraphy/CalligraphyFactory.java,uk.co.chrisjenx.calligraphy.CalligraphyFactory,"onViewCreatedInternal/3[uk.co.chrisjenx.calligraphy.View,uk.co.chrisjenx.calligraphy.Context,uk.co.chrisjenx.calligraphy.AttributeSet]",styleForTextView,4
