file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,"CriteriaPolitePositionReached/3[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter,com.beloo.widget.chipslayoutmanager.layouter.criteria.IFinishingCriteria,int]",reachedPosition,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,onLayoutRow/1[com.beloo.widget.chipslayoutmanager.layouter.ILayouter],reachedPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,onLayoutRow/1[com.beloo.widget.chipslayoutmanager.layouter.ILayouter],isPositionReached,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,isFinishedLayouting/1[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter],isPositionReached,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/sample/src/androidTest/java/com/beloo/widget/chipslayoutmanager/util/ActionDelegate.java,com.beloo.widget.chipslayoutmanager.util.ActionDelegate,"ActionDelegate/1[com.beloo.widget.chipslayoutmanager.support.BiConsumer<com.beloo.widget.chipslayoutmanager.util.UiController,T>]",viewConsumer,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/sample/src/androidTest/java/com/beloo/widget/chipslayoutmanager/util/ActionDelegate.java,com.beloo.widget.chipslayoutmanager.util.ActionDelegate,"performAction/2[com.beloo.widget.chipslayoutmanager.util.UiController,T]",viewConsumer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onAfterRemovingViews/0,recycledSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onStartLayouter/1[int],startCacheSize,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onStartLayouter/1[int],viewCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onStartLayouter/1[int],requestedItems,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onStartLayouter/1[int],recycledItems,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onItemRequested/0,requestedItems,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onRemovedAndRecycled/1[int],viewCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onRemovedAndRecycled/1[int],recycledSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,FillLogger/1[com.beloo.widget.chipslayoutmanager.util.log.SparseArray<com.beloo.widget.chipslayoutmanager.util.log.View>],viewCache,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onFinishedLayouter/0,startCacheSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onFinishedLayouter/0,viewCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onFinishedLayouter/0,requestedItems,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onFinishedLayouter/0,recycledItems,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onItemRecycled/0,recycledItems,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onAfterLayouter/0,viewCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onAfterLayouter/0,recycledSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/androidTest/java/com/beloo/widget/chipslayoutmanager/gravity/RowGravityModifiersFactoryTest.java,com.beloo.widget.chipslayoutmanager.gravity.RowGravityModifiersFactoryTest,factoryShouldReturnCenterModifierForCenterGravity/0,factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/androidTest/java/com/beloo/widget/chipslayoutmanager/gravity/RowGravityModifiersFactoryTest.java,com.beloo.widget.chipslayoutmanager.gravity.RowGravityModifiersFactoryTest,factoryShouldReturnCenterModifierForCenterVerticalGravity/0,factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/androidTest/java/com/beloo/widget/chipslayoutmanager/gravity/RowGravityModifiersFactoryTest.java,com.beloo.widget.chipslayoutmanager.gravity.RowGravityModifiersFactoryTest,factoryShouldReturnTopModifierForTopGravity/0,factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/androidTest/java/com/beloo/widget/chipslayoutmanager/gravity/RowGravityModifiersFactoryTest.java,com.beloo.widget.chipslayoutmanager.gravity.RowGravityModifiersFactoryTest,factoryShouldReturnCenterModifierForUnknownGravity/0,factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/androidTest/java/com/beloo/widget/chipslayoutmanager/gravity/RowGravityModifiersFactoryTest.java,com.beloo.widget.chipslayoutmanager.gravity.RowGravityModifiersFactoryTest,factoryShouldReturnBottomModifierForBottomGravity/0,factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/sample/src/androidTest/java/com/beloo/chipslayoutmanager/sample/ui/FewChipsFacade.java,com.beloo.chipslayoutmanager.sample.ui.FewChipsFacade,getItems/0,chipsFactory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/sample/src/androidTest/java/com/beloo/chipslayoutmanager/sample/ui/FewChipsFacade.java,com.beloo.chipslayoutmanager.sample.ui.FewChipsFacade,createOneItemForPosition/1[int],chipsFactory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,onRestoreInstanceState/1[com.beloo.widget.chipslayoutmanager.cache.Parcelable],endsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,onRestoreInstanceState/1[com.beloo.widget.chipslayoutmanager.cache.Parcelable],startsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,setCachingEnabled/1[boolean],isCachingEnabled,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,setCachingEnabled/1[boolean],TAG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,"storeRow/1[java.util.List<com.beloo.widget.chipslayoutmanager.cache.Pair<com.beloo.widget.chipslayoutmanager.cache.Rect,com.beloo.widget.chipslayoutmanager.cache.View>>]",endsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,"storeRow/1[java.util.List<com.beloo.widget.chipslayoutmanager.cache.Pair<com.beloo.widget.chipslayoutmanager.cache.Rect,com.beloo.widget.chipslayoutmanager.cache.View>>]",layoutManager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,"storeRow/1[java.util.List<com.beloo.widget.chipslayoutmanager.cache.Pair<com.beloo.widget.chipslayoutmanager.cache.Rect,com.beloo.widget.chipslayoutmanager.cache.View>>]",isCachingEnabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,"storeRow/1[java.util.List<com.beloo.widget.chipslayoutmanager.cache.Pair<com.beloo.widget.chipslayoutmanager.cache.Rect,com.beloo.widget.chipslayoutmanager.cache.View>>]",startsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,purge/0,endsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,purge/0,startsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,isPositionEndsRow/1[int],endsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,setMaxCacheSize/1[int],maxCacheSize,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,purgeCacheToPosition/1[int],endsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,purgeCacheToPosition/1[int],startsRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,purgeCacheToPosition/1[int],TAG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,ViewCacheStorage/1[RecyclerView.LayoutManager],layoutManager,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/cache/ViewCacheStorage.java,com.beloo.widget.chipslayoutmanager.cache.ViewCacheStorage,ViewCacheStorage/1[RecyclerView.LayoutManager],isCachingEnabled,1
