file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,"CriteriaPolitePositionReached/3[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter,com.beloo.widget.chipslayoutmanager.layouter.criteria.IFinishingCriteria,int]",reachedPosition,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,"CriteriaPolitePositionReached/3[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter,com.beloo.widget.chipslayoutmanager.layouter.criteria.IFinishingCriteria,int]",abstractLayouter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,"CriteriaPolitePositionReached/3[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter,com.beloo.widget.chipslayoutmanager.layouter.criteria.IFinishingCriteria,int]",finishingCriteria,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,onLayoutRow/1[com.beloo.widget.chipslayoutmanager.layouter.ILayouter],item,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,onLayoutRow/1[com.beloo.widget.chipslayoutmanager.layouter.ILayouter],layouter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,isFinishedLayouting/1[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter],isFinishedFlow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/layouter/criteria/CriteriaPolitePositionReached.java,com.beloo.widget.chipslayoutmanager.layouter.criteria.CriteriaPolitePositionReached,isFinishedLayouting/1[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter],abstractLayouter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/sample/src/androidTest/java/com/beloo/widget/chipslayoutmanager/util/ActionDelegate.java,com.beloo.widget.chipslayoutmanager.util.ActionDelegate,"ActionDelegate/1[com.beloo.widget.chipslayoutmanager.support.BiConsumer<com.beloo.widget.chipslayoutmanager.util.UiController,T>]",viewConsumer,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/sample/src/androidTest/java/com/beloo/widget/chipslayoutmanager/util/ActionDelegate.java,com.beloo.widget.chipslayoutmanager.util.ActionDelegate,"performAction/2[com.beloo.widget.chipslayoutmanager.util.UiController,T]",view,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/sample/src/androidTest/java/com/beloo/widget/chipslayoutmanager/util/ActionDelegate.java,com.beloo.widget.chipslayoutmanager.util.ActionDelegate,"performAction/2[com.beloo.widget.chipslayoutmanager.util.UiController,T]",uiController,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/gravity/LeftGravityModifier.java,com.beloo.widget.chipslayoutmanager.gravity.LeftGravityModifier,"modifyChildRect/3[int,int,com.beloo.widget.chipslayoutmanager.gravity.Rect]",childRect,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/gravity/LeftGravityModifier.java,com.beloo.widget.chipslayoutmanager.gravity.LeftGravityModifier,"modifyChildRect/3[int,int,com.beloo.widget.chipslayoutmanager.gravity.Rect]",maxEnd,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/gravity/LeftGravityModifier.java,com.beloo.widget.chipslayoutmanager.gravity.LeftGravityModifier,"modifyChildRect/3[int,int,com.beloo.widget.chipslayoutmanager.gravity.Rect]",minStart,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onStartLayouter/1[int],startPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onBeforeLayouter/1[com.beloo.widget.chipslayoutmanager.anchor.AnchorViewState],anchorView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,onRemovedAndRecycled/1[int],position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/util/log/FillLogger.java,com.beloo.widget.chipslayoutmanager.util.log.FillLogger,FillLogger/1[com.beloo.widget.chipslayoutmanager.util.log.SparseArray<com.beloo.widget.chipslayoutmanager.util.log.View>],viewCache,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/gravity/EmptyRowStrategy.java,com.beloo.widget.chipslayoutmanager.gravity.EmptyRowStrategy,"applyStrategy/2[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter,java.util.List<com.beloo.widget.chipslayoutmanager.layouter.Item>]",abstractLayouter,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/main/java/com/beloo/widget/chipslayoutmanager/gravity/EmptyRowStrategy.java,com.beloo.widget.chipslayoutmanager.gravity.EmptyRowStrategy,"applyStrategy/2[com.beloo.widget.chipslayoutmanager.layouter.AbstractLayouter,java.util.List<com.beloo.widget.chipslayoutmanager.layouter.Item>]",row,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/androidTest/java/com/beloo/widget/chipslayoutmanager/gravity/RowGravityModifiersFactoryTest.java,com.beloo.widget.chipslayoutmanager.gravity.RowGravityModifiersFactoryTest,factoryShouldReturnCenterModifierForCenterGravity/0,gravityModifier,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/ChipsLayoutManager/ChipsLayoutManager/src/androidTest/java/com/beloo/widget/chipslayoutmanager/gravity/RowGravityModifiersFactoryTest.java,com.beloo.widget.chipslayoutmanager.gravity.RowGravityModifiersFactoryTest,factoryShouldReturnCenterModifierForCenterVerticalGravity/0,gravityModifier,1
