file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/LoopRecyclerViewFragment.java,me.relex.circleindicator.sample.fragment.LoopRecyclerViewFragment,"onViewCreated/2[me.relex.circleindicator.sample.fragment.View,me.relex.circleindicator.sample.fragment.Bundle]",mIndicator,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/LoopRecyclerViewFragment.java,me.relex.circleindicator.sample.fragment.LoopRecyclerViewFragment,"onViewCreated/2[me.relex.circleindicator.sample.fragment.View,me.relex.circleindicator.sample.fragment.Bundle]",mAdapter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mIndicatorUnselectedBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mAnimatorIn,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mImmediateAnimatorIn,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mIndicatorMargin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mIndicatorWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mIndicatorBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mIndicatorHeight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],DEFAULT_INDICATOR_WIDTH,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mAnimatorOut,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,initialize/1[me.relex.circleindicator.Config],mImmediateAnimatorOut,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,animatePageSelected/1[int],mIndicatorTintColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,animatePageSelected/1[int],mIndicatorUnselectedBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,animatePageSelected/1[int],mAnimatorIn,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,animatePageSelected/1[int],mLastPosition,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,animatePageSelected/1[int],mIndicatorBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,animatePageSelected/1[int],mIndicatorTintUnselectedColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,animatePageSelected/1[int],mAnimatorOut,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mIndicatorTintColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mIndicatorUnselectedBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mImmediateAnimatorIn,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mLastPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mIndicatorBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mIndicatorTintUnselectedColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mIndicatorCreatedListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"createIndicators/2[int,int]",mImmediateAnimatorOut,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"tintIndicator/2[int,int]",mIndicatorTintColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"tintIndicator/2[int,int]",mIndicatorTintUnselectedColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"changeIndicatorResource/2[int,int]",mIndicatorUnselectedBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,"changeIndicatorResource/2[int,int]",mIndicatorBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,addIndicator/1[int],mIndicatorMargin,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,addIndicator/1[int],mIndicatorWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,addIndicator/1[int],mIndicatorHeight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,setIndicatorCreatedListener/1[me.relex.circleindicator.BaseCircleIndicator.IndicatorCreatedListener],mIndicatorCreatedListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,changeIndicatorBackground/0,mIndicatorTintColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,changeIndicatorBackground/0,mIndicatorUnselectedBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,changeIndicatorBackground/0,mLastPosition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,changeIndicatorBackground/0,mIndicatorBackgroundResId,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/BaseCircleIndicator.java,me.relex.circleindicator.BaseCircleIndicator,changeIndicatorBackground/0,mIndicatorTintUnselectedColor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/ResetAdapterFragment.java,me.relex.circleindicator.sample.fragment.ResetAdapterFragment,"onViewCreated/2[me.relex.circleindicator.sample.fragment.View,me.relex.circleindicator.sample.fragment.Bundle]",mIndicator,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/ResetAdapterFragment.java,me.relex.circleindicator.sample.fragment.ResetAdapterFragment,"onViewCreated/2[me.relex.circleindicator.sample.fragment.View,me.relex.circleindicator.sample.fragment.Bundle]",mViewpager,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/ViewPager2Fragment.java,me.relex.circleindicator.sample.fragment.ViewPager2Fragment,"onViewCreated/2[me.relex.circleindicator.sample.fragment.View,me.relex.circleindicator.sample.fragment.Bundle]",mAdapter,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/CircleIndicator2.java,me.relex.circleindicator.CircleIndicator2,"attachToRecyclerView/2[me.relex.circleindicator.RecyclerView,me.relex.circleindicator.SnapHelper]",mSnapHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/CircleIndicator2.java,me.relex.circleindicator.CircleIndicator2,"attachToRecyclerView/2[me.relex.circleindicator.RecyclerView,me.relex.circleindicator.SnapHelper]",mRecyclerView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/CircleIndicator2.java,me.relex.circleindicator.CircleIndicator2,"attachToRecyclerView/2[me.relex.circleindicator.RecyclerView,me.relex.circleindicator.SnapHelper]",mInternalOnScrollListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/CircleIndicator2.java,me.relex.circleindicator.CircleIndicator2,getSnapPosition/1[RecyclerView.LayoutManager],mSnapHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/CircleIndicator2.java,me.relex.circleindicator.CircleIndicator2,createIndicators/0,mRecyclerView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/CircleIndicator2.java,me.relex.circleindicator.CircleIndicator2,getAdapterDataObserver/0,mAdapterDataObserver,1
