file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"layoutDependsOn/3[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator,me.relex.circleindicator.View]",parent,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"layoutDependsOn/3[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator,me.relex.circleindicator.View]",dependency,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"layoutDependsOn/3[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator,me.relex.circleindicator.View]",child,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"onDependentViewChanged/3[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator,me.relex.circleindicator.View]",parent,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"onDependentViewChanged/3[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator,me.relex.circleindicator.View]",dependency,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"onDependentViewChanged/3[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator,me.relex.circleindicator.View]",translationY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"onDependentViewChanged/3[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator,me.relex.circleindicator.View]",child,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"SnackbarBehavior/2[me.relex.circleindicator.Context,me.relex.circleindicator.AttributeSet]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"SnackbarBehavior/2[me.relex.circleindicator.Context,me.relex.circleindicator.AttributeSet]",attributeSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"getTranslationYForSnackbar/2[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator]",parent,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"getTranslationYForSnackbar/2[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator]",view,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"getTranslationYForSnackbar/2[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator]",ci,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"getTranslationYForSnackbar/2[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator]",i,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"getTranslationYForSnackbar/2[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator]",z,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"getTranslationYForSnackbar/2[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator]",minOffset,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/circleindicator/src/main/java/me/relex/circleindicator/SnackbarBehavior.java,me.relex.circleindicator.SnackbarBehavior,"getTranslationYForSnackbar/2[me.relex.circleindicator.CoordinatorLayout,me.relex.circleindicator.BaseCircleIndicator]",dependencies,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/ViewPager2Fragment.java,me.relex.circleindicator.sample.fragment.ViewPager2Fragment$Anonymous1,onClick/1[me.relex.circleindicator.sample.fragment.View],v,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/LoopRecyclerViewFragment.java,me.relex.circleindicator.sample.fragment.LoopRecyclerViewFragment,"onViewCreated/2[me.relex.circleindicator.sample.fragment.View,me.relex.circleindicator.sample.fragment.Bundle]",savedInstanceState,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleIndicator/sample/src/main/java/me/relex/circleindicator/sample/fragment/LoopRecyclerViewFragment.java,me.relex.circleindicator.sample.fragment.LoopRecyclerViewFragment,"onViewCreated/2[me.relex.circleindicator.sample.fragment.View,me.relex.circleindicator.sample.fragment.Bundle]",view,2
