file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setTextSize/1[float],textSize,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setMax/1[int],max,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setProgress/1[int],progress,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],textHeight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],canvas,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],startAngle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],sweepAngle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],angle,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],text,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],radius,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onDraw/1[com.github.lzyzsd.circleprogress.Canvas],yHeight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setText/1[java.lang.String],text,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,setPrefixText/1[java.lang.String],prefixText,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,"onMeasure/2[int,int]",heightMeasureSpec,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,"onMeasure/2[int,int]",widthMeasureSpec,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onRestoreInstanceState/1[com.github.lzyzsd.circleprogress.Parcelable],state,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,onRestoreInstanceState/1[com.github.lzyzsd.circleprogress.Parcelable],bundle,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,"CircleProgress/3[com.github.lzyzsd.circleprogress.Context,com.github.lzyzsd.circleprogress.AttributeSet,int]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,"CircleProgress/3[com.github.lzyzsd.circleprogress.Context,com.github.lzyzsd.circleprogress.AttributeSet,int]",attributes,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,"CircleProgress/3[com.github.lzyzsd.circleprogress.Context,com.github.lzyzsd.circleprogress.AttributeSet,int]",defStyleAttr,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CircleProgress/library/src/main/java/com/github/lzyzsd/circleprogress/CircleProgress.java,com.github.lzyzsd.circleprogress.CircleProgress,"CircleProgress/3[com.github.lzyzsd.circleprogress.Context,com.github.lzyzsd.circleprogress.AttributeSet,int]",attrs,2
