file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/viewmodel/gank/GankHomeViewModel.java,com.example.jingbin.cloudreader.viewmodel.gank.GankHomeViewModel,getContentData/0,contentData,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/viewmodel/gank/GankHomeViewModel.java,com.example.jingbin.cloudreader.viewmodel.gank.GankHomeViewModel,getBannerData/0,bannerData,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/viewmodel/gank/GankHomeViewModel.java,com.example.jingbin.cloudreader.viewmodel.gank.GankHomeViewModel,getShowLoading/0,isShowLoading,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/viewmodel/gank/GankHomeViewModel.java,com.example.jingbin.cloudreader.viewmodel.gank.GankHomeViewModel,getBanner/0,isShowLoading,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java,com.example.jingbin.cloudreader.ui.wan.child.HomeFragment,onDestroy/0,isLoadBanner,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java,com.example.jingbin.cloudreader.ui.wan.child.HomeFragment,onDestroy/0,mAdapter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java,com.example.jingbin.cloudreader.ui.wan.child.HomeFragment,getHomeArticleList/0,observer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java,com.example.jingbin.cloudreader.ui.wan.child.HomeFragment,onResume/0,isLoadBanner,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java,com.example.jingbin.cloudreader.ui.wan.child.HomeFragment,onResume/0,mIsFirst,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CloudReader/app/src/main/java/com/example/jingbin/cloudreader/ui/wan/child/HomeFragment.java,com.example.jingbin.cloudreader.ui.wan.child.HomeFragment,initRefreshView/0,mAdapter,2
