file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onRestart/0,exceptionPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onPause/0,exceptionPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onDestroy/0,exceptionPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onResume/0,exceptionPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onCreate/1[com.wanjian.demo.Bundle],METHOD,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onCreate/1[com.wanjian.demo.Bundle],exceptionPoint,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onStart/0,exceptionPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,onStop/0,exceptionPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/LifecycleExceptionActivity.java,com.wanjian.demo.LifecycleExceptionActivity,finish/0,exceptionPoint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/support/CrashLogFragment.java,com.wanjian.demo.support.CrashLogFragment,readFileList/0,fileReadHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/support/CrashLogFragment.java,com.wanjian.demo.support.CrashLogFragment,"update/2[java.io.File,java.lang.String]",uiHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/support/CrashLogFragment.java,com.wanjian.demo.support.CrashLogFragment,setFileList/1[java.util.List<com.wanjian.demo.support.CrashLogFragment.Log>],uiHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/support/CrashLogFragment.java,com.wanjian.demo.support.CrashLogFragment,readFileContent/1[java.io.File],fileReadHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Cockroach/demo/src/main/java/com/wanjian/demo/support/CrashLogFragment.java,com.wanjian.demo.support.CrashLogFragment,"onViewCreated/2[com.wanjian.demo.support.View,com.wanjian.demo.support.Bundle]",adapter,1
