file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,setMinimumHorizontalAngle/1[float],angleInDegrees,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,setMinimumVerticalAngle/1[float],angleInDegrees,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",eDistX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",controlX2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",controlX1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",deltaX,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",midDist2,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",deltaY,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",eDistY,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",h2,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",newArcDistance2,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",path,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",ratio2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",dx,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",dy,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",controlY2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",controlY1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",arcDist2,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",endY,11
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",endX,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",ex,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",ey,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",arcDistY,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",arcDistX,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",maximumArcDist2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",startY,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",startX,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",minimumArcDist2,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"getPath/4[float,float,float,float]",ratio,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,toTangent/1[float],arcInDegrees,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"GravityArcMotion/2[com.bluelinelabs.conductor.demo.changehandler.transitions.Context,com.bluelinelabs.conductor.demo.changehandler.transitions.AttributeSet]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,"GravityArcMotion/2[com.bluelinelabs.conductor.demo.changehandler.transitions.Context,com.bluelinelabs.conductor.demo.changehandler.transitions.AttributeSet]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/Conductor/demo/src/main/java/com/bluelinelabs/conductor/demo/changehandler/transitions/GravityArcMotion.java,com.bluelinelabs.conductor.demo.changehandler.transitions.GravityArcMotion,setMaximumAngle/1[float],angleInDegrees,2
