file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/RecyclerAdapter.java,cn.hugeterry.coordinatortablayoutdemo.RecyclerAdapter$MyViewHolder,MyViewHolder/1[cn.hugeterry.coordinatortablayoutdemo.View],tv,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/RecyclerAdapter.java,cn.hugeterry.coordinatortablayoutdemo.RecyclerAdapter,"onBindViewHolder/2[cn.hugeterry.coordinatortablayoutdemo.RecyclerAdapter.MyViewHolder,int]",mDatas,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/RecyclerAdapter.java,cn.hugeterry.coordinatortablayoutdemo.RecyclerAdapter,"RecyclerAdapter/2[cn.hugeterry.coordinatortablayoutdemo.Context,java.util.List<java.lang.String>]",mDatas,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/RecyclerAdapter.java,cn.hugeterry.coordinatortablayoutdemo.RecyclerAdapter,"RecyclerAdapter/2[cn.hugeterry.coordinatortablayoutdemo.Context,java.util.List<java.lang.String>]",mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/RecyclerAdapter.java,cn.hugeterry.coordinatortablayoutdemo.RecyclerAdapter,getItemCount/0,mDatas,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/RecyclerAdapter.java,cn.hugeterry.coordinatortablayoutdemo.RecyclerAdapter,"onCreateViewHolder/2[cn.hugeterry.coordinatortablayoutdemo.ViewGroup,int]",mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/MainFragment.java,cn.hugeterry.coordinatortablayoutdemo.MainFragment,getInstance/1[java.lang.String],ARG_TITLE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/MainFragment.java,cn.hugeterry.coordinatortablayoutdemo.MainFragment,"onCreateView/3[cn.hugeterry.coordinatortablayoutdemo.LayoutInflater,cn.hugeterry.coordinatortablayoutdemo.ViewGroup,cn.hugeterry.coordinatortablayoutdemo.Bundle]",mDatas,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/MainFragment.java,cn.hugeterry.coordinatortablayoutdemo.MainFragment,"onCreateView/3[cn.hugeterry.coordinatortablayoutdemo.LayoutInflater,cn.hugeterry.coordinatortablayoutdemo.ViewGroup,cn.hugeterry.coordinatortablayoutdemo.Bundle]",mRecyclerView,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CoordinatorTabLayout/sample/src/main/java/cn/hugeterry/coordinatortablayoutdemo/MainFragment.java,cn.hugeterry.coordinatortablayoutdemo.MainFragment,onCreate/1[cn.hugeterry.coordinatortablayoutdemo.Bundle],ARG_TITLE,1
