file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,getBackgroundMode/0,backgroundMode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,isEnabled/0,enabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,isLogErrorOnRestart/0,logErrorOnRestart,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setCustomCrashDataCollector/1[cat.ereza.customactivityoncrash.CustomActivityOnCrash.CustomCrashDataCollector],customCrashDataCollector,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,isShowRestartButton/0,showRestartButton,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setErrorActivityClass/1[java.lang.Class<? extends cat.ereza.customactivityoncrash.config.Activity>],errorActivityClass,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,getErrorDrawable/0,errorDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,getErrorActivityClass/0,errorActivityClass,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,getRestartActivityClass/0,restartActivityClass,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,getEventListener/0,eventListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setShowRestartButton/1[boolean],showRestartButton,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setLogErrorOnRestart/1[boolean],logErrorOnRestart,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setRestartActivityClass/1[java.lang.Class<? extends cat.ereza.customactivityoncrash.config.Activity>],restartActivityClass,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,isShowErrorDetails/0,showErrorDetails,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,isTrackActivities/0,trackActivities,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setBackgroundMode/1[int],backgroundMode,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setEnabled/1[boolean],enabled,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setMinTimeBetweenCrashesMs/1[int],minTimeBetweenCrashesMs,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,getCustomCrashDataCollector/0,customCrashDataCollector,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,getMinTimeBetweenCrashesMs/0,minTimeBetweenCrashesMs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setShowErrorDetails/1[boolean],showErrorDetails,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setTrackActivities/1[boolean],trackActivities,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setErrorDrawable/1[java.lang.Integer],errorDrawable,3
