file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setCustomCrashDataCollector/1[cat.ereza.customactivityoncrash.CustomActivityOnCrash.CustomCrashDataCollector],collector,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setErrorActivityClass/1[java.lang.Class<? extends cat.ereza.customactivityoncrash.config.Activity>],errorActivityClass,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setShowRestartButton/1[boolean],showRestartButton,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setLogErrorOnRestart/1[boolean],logErrorOnRestart,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setRestartActivityClass/1[java.lang.Class<? extends cat.ereza.customactivityoncrash.config.Activity>],restartActivityClass,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setBackgroundMode/1[int],backgroundMode,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setEnabled/1[boolean],enabled,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setMinTimeBetweenCrashesMs/1[int],minTimeBetweenCrashesMs,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setShowErrorDetails/1[boolean],showErrorDetails,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setTrackActivities/1[boolean],trackActivities,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setErrorDrawable/1[java.lang.Integer],errorDrawable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/library/src/main/java/cat/ereza/customactivityoncrash/config/CaocConfig.java,cat.ereza.customactivityoncrash.config.CaocConfig,setEventListener/1[cat.ereza.customactivityoncrash.CustomActivityOnCrash.EventListener],eventListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/sample/src/main/java/cat/ereza/customactivityoncrash/sample/activity/CustomErrorActivity.java,cat.ereza.customactivityoncrash.sample.activity.CustomErrorActivity,onCreate/1[cat.ereza.customactivityoncrash.sample.activity.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/CustomActivityOnCrash/sample/src/main/java/cat/ereza/customactivityoncrash/sample/activity/CustomErrorActivity.java,cat.ereza.customactivityoncrash.sample.activity.CustomErrorActivity,onCreate/1[cat.ereza.customactivityoncrash.sample.activity.Bundle],restartButton,3
