file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/model/IDanmakus.java,master.flame.danmaku.danmaku.model.IDanmakus$TimeComparator,"compare/2[master.flame.danmaku.danmaku.model.BaseDanmaku,master.flame.danmaku.danmaku.model.BaseDanmaku]",obj2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/model/IDanmakus.java,master.flame.danmaku.danmaku.model.IDanmakus$TimeComparator,"compare/2[master.flame.danmaku.danmaku.model.BaseDanmaku,master.flame.danmaku.danmaku.model.BaseDanmaku]",obj1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/model/IDanmakus.java,master.flame.danmaku.danmaku.model.IDanmakus$TimeComparator,TimeComparator/1[boolean],duplicateMergingEnabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/renderer/android/DanmakuRenderer.java,master.flame.danmaku.danmaku.renderer.android.DanmakuRenderer,setCacheManager/1[master.flame.danmaku.danmaku.model.ICacheManager],cacheManager,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/renderer/android/DanmakuRenderer.java,master.flame.danmaku.danmaku.renderer.android.DanmakuRenderer,setOnDanmakuShownListener/1[master.flame.danmaku.danmaku.renderer.IRenderer.OnDanmakuShownListener],onDanmakuShownListener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/renderer/android/DanmakuRenderer.java,master.flame.danmaku.danmaku.renderer.android.DanmakuRenderer,DanmakuRenderer/1[master.flame.danmaku.danmaku.model.android.DanmakuContext],config,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/renderer/android/DanmakuRenderer.java,master.flame.danmaku.danmaku.renderer.android.DanmakuRenderer,setVerifierEnabled/1[boolean],enabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/renderer/android/DanmakuRenderer.java,master.flame.danmaku.danmaku.renderer.android.DanmakuRenderer,"draw/4[master.flame.danmaku.danmaku.model.IDisplayer,master.flame.danmaku.danmaku.model.IDanmakus,long,master.flame.danmaku.danmaku.renderer.IRenderer.RenderingState]",danmakus,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/renderer/android/DanmakuRenderer.java,master.flame.danmaku.danmaku.renderer.android.DanmakuRenderer,"draw/4[master.flame.danmaku.danmaku.model.IDisplayer,master.flame.danmaku.danmaku.model.IDanmakus,long,master.flame.danmaku.danmaku.renderer.IRenderer.RenderingState]",renderingState,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/DanmakuFlameMaster/DanmakuFlameMaster/src/main/java/master/flame/danmaku/danmaku/renderer/android/DanmakuRenderer.java,master.flame.danmaku.danmaku.renderer.android.DanmakuRenderer,"draw/4[master.flame.danmaku.danmaku.model.IDisplayer,master.flame.danmaku.danmaku.model.IDanmakus,long,master.flame.danmaku.danmaku.renderer.IRenderer.RenderingState]",startRenderTime,2
