file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,pivot/1[int],a,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,pivot/1[int],m,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,pivot/1[int],n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,forwardElimination/0,a,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,forwardElimination/0,m,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,forwardElimination/0,n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,forwardElimination/0,EPSILON,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",m,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",EPSILON,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"GaussianElimination/2[double[][],double[]]",a,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"GaussianElimination/2[double[][],double[]]",m,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"GaussianElimination/2[double[][],double[]]",n,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,a,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,m,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,n,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,EPSILON,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"swap/2[int,int]",a,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/NonrecursiveDFS.java,edu.princeton.cs.algs4.NonrecursiveDFS,main/1[java.lang.String[]],marked,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/NonrecursiveDFS.java,edu.princeton.cs.algs4.NonrecursiveDFS,"NonrecursiveDFS/2[edu.princeton.cs.algs4.Graph,int]",marked,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/NonrecursiveDFS.java,edu.princeton.cs.algs4.NonrecursiveDFS,marked/1[int],marked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/DirectedDFS.java,edu.princeton.cs.algs4.DirectedDFS,main/1[java.lang.String[]],marked,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/DirectedDFS.java,edu.princeton.cs.algs4.DirectedDFS,"DirectedDFS/2[edu.princeton.cs.algs4.Digraph,int]",marked,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/DirectedDFS.java,edu.princeton.cs.algs4.DirectedDFS,"DirectedDFS/2[edu.princeton.cs.algs4.Digraph,java.lang.Iterable<java.lang.Integer>]",marked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/DirectedDFS.java,edu.princeton.cs.algs4.DirectedDFS,count/0,count,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/DirectedDFS.java,edu.princeton.cs.algs4.DirectedDFS,marked/1[int],marked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/DirectedDFS.java,edu.princeton.cs.algs4.DirectedDFS,"dfs/2[edu.princeton.cs.algs4.Digraph,int]",marked,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/DirectedDFS.java,edu.princeton.cs.algs4.DirectedDFS,"dfs/2[edu.princeton.cs.algs4.Digraph,int]",count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/AVLTreeST.java,edu.princeton.cs.algs4.AVLTreeST$Node,"Node/4[Key,Value,int,int]",val,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/AVLTreeST.java,edu.princeton.cs.algs4.AVLTreeST$Node,"Node/4[Key,Value,int,int]",size,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/AVLTreeST.java,edu.princeton.cs.algs4.AVLTreeST$Node,"Node/4[Key,Value,int,int]",key,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/AVLTreeST.java,edu.princeton.cs.algs4.AVLTreeST$Node,"Node/4[Key,Value,int,int]",height,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,toString/0,ymin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,toString/0,xmin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,toString/0,ymax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,toString/0,xmax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,xmax/0,xmax,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,distanceSquaredTo/1[edu.princeton.cs.algs4.Point2D],ymin,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,distanceSquaredTo/1[edu.princeton.cs.algs4.Point2D],xmin,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,distanceSquaredTo/1[edu.princeton.cs.algs4.Point2D],ymax,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,distanceSquaredTo/1[edu.princeton.cs.algs4.Point2D],xmax,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,equals/1[java.lang.Object],ymin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,equals/1[java.lang.Object],xmin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,equals/1[java.lang.Object],ymax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,equals/1[java.lang.Object],xmax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,hashCode/0,ymin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,hashCode/0,xmin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,hashCode/0,ymax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,hashCode/0,xmax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,intersects/1[edu.princeton.cs.algs4.RectHV],ymin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,intersects/1[edu.princeton.cs.algs4.RectHV],xmin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,intersects/1[edu.princeton.cs.algs4.RectHV],ymax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,intersects/1[edu.princeton.cs.algs4.RectHV],xmax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,height/0,ymin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,height/0,ymax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,xmin/0,xmin,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,draw/0,ymin,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,draw/0,xmin,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,draw/0,ymax,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,draw/0,xmax,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,width/0,xmin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,width/0,xmax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,ymax/0,ymax,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,contains/1[edu.princeton.cs.algs4.Point2D],ymin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,contains/1[edu.princeton.cs.algs4.Point2D],xmin,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,contains/1[edu.princeton.cs.algs4.Point2D],ymax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,contains/1[edu.princeton.cs.algs4.Point2D],xmax,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,"RectHV/4[double,double,double,double]",ymin,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,"RectHV/4[double,double,double,double]",xmin,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,"RectHV/4[double,double,double,double]",ymax,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,"RectHV/4[double,double,double,double]",xmax,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/RectHV.java,edu.princeton.cs.algs4.RectHV,ymin/0,ymin,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,select/1[int],index,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,select/1[int],text,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,select/1[int],n,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"less/3[int,int,int]",text,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"less/3[int,int,int]",n,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"exch/2[int,int]",index,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,index/1[int],index,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,index/1[int],n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,lcp/1[int],index,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,lcp/1[int],n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"lcp/2[int,int]",text,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"lcp/2[int,int]",n,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,SuffixArrayX/1[java.lang.String],index,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,SuffixArrayX/1[java.lang.String],text,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,SuffixArrayX/1[java.lang.String],n,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,main/1[java.lang.String[]],index,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,length/0,n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"insertion/3[int,int,int]",index,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"sort/3[int,int,int]",CUTOFF,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"sort/3[int,int,int]",index,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,"sort/3[int,int,int]",text,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,rank/1[java.lang.String],index,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/SuffixArrayX.java,edu.princeton.cs.algs4.SuffixArrayX,rank/1[java.lang.String],n,1
