file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,pivot/1[int],p,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,pivot/1[int],alpha,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,pivot/1[int],i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,pivot/1[int],j,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,forwardElimination/0,p,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,forwardElimination/0,max,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,forwardElimination/0,i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test5/0,A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test5/0,b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test9/0,A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test9/0,b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test2/0,A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test2/0,b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,main/1[java.lang.String[]],args,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,main/1[java.lang.String[]],A,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,main/1[java.lang.String[]],b,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,main/1[java.lang.String[]],i,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,main/1[java.lang.String[]],j,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,main/1[java.lang.String[]],n,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test8/0,A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test8/0,b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"test/3[java.lang.String,double[][],double[]]",A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"test/3[java.lang.String,double[][],double[]]",b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"test/3[java.lang.String,double[][],double[]]",name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"test/3[java.lang.String,double[][],double[]]",x,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"test/3[java.lang.String,double[][],double[]]",i,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"test/3[java.lang.String,double[][],double[]]",gaussian,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test6/0,A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test6/0,b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",b,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",x,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",i,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",sum,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"certifySolution/2[double[][],double[]]",j,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"GaussianElimination/2[double[][],double[]]",A,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"GaussianElimination/2[double[][],double[]]",b,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"GaussianElimination/2[double[][],double[]]",i,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,"GaussianElimination/2[double[][],double[]]",j,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,x,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,i,16
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,sum,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,primal/0,j,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test3/0,A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test3/0,b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test4/0,A,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test4/0,b,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/algs4/src/main/java/edu/princeton/cs/algs4/GaussianElimination.java,edu.princeton.cs.algs4.GaussianElimination,test7/0,A,1
