file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getDuration/0,duration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getName/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getParentSuite/0,parentSuite,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getStatus/0,status,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getTestClass/0,testClass,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,getSuite/0,suite,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,CsvExportSuite/1[io.qameta.allure.entity.TestResult],duration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,CsvExportSuite/1[io.qameta.allure.entity.TestResult],suite,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,CsvExportSuite/1[io.qameta.allure.entity.TestResult],stop,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,CsvExportSuite/1[io.qameta.allure.entity.TestResult],parentSuite,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/allure2/allure-plugin-api/src/main/java/io/qameta/allure/csv/CsvExportSuite.java,io.qameta.allure.csv.CsvExportSuite,CsvExportSuite/1[io.qameta.allure.entity.TestResult],start,1
