file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkAnalyzerProvider.java,com.infinilabs.ik.elasticsearch.IkAnalyzerProvider,class,8,9,1,8,4,2,0,1,4,0.5,0.16666667,0.16666667,4,2,4,0,0,0,4,0,0,0,1,0,0,1,0,0,1,0,0,17,3,0,0,0,0,0,0,2,0,2,0,0,0,0,16,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,class,9,11,2,9,16,1,0,25,0,0.44444445,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,6,2,0,6,0,0,1,0,3,62,1,0,9,2,4,12,8,12,3,9,3,0,0,1,34,1,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,class,10,12,2,10,13,1,0,16,0,0.4666667,0.8333333,1.0,6,0,4,2,0,0,4,0,0,2,5,0,0,5,0,0,0,0,0,64,4,5,1,0,1,0,2,10,0,8,4,0,0,0,38,17,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,class,9,17,8,9,53,1,0,33,44,0.7852564,0.42857143,1.0,24,0,2,2,0,20,22,0,0,0,13,2,0,13,0,0,2,0,7,200,15,4,16,0,0,0,20,46,7,25,5,0,0,0,93,0,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/opensearch/src/main/java/com/infinilabs/ik/opensearch/AnalysisIkPlugin.java,com.infinilabs.ik.opensearch.AnalysisIkPlugin,class,4,5,1,4,2,2,0,1,1,1.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,15,2,0,0,0,0,5,0,3,0,3,0,0,0,0,18,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Hit.java,org.wltea.analyzer.dic.Hit,class,1,5,4,1,15,1,0,0,30,0.78571427,0.27272728,0.27272728,12,0,12,0,0,0,12,0,0,0,7,3,0,7,0,0,3,0,0,45,6,0,1,0,2,0,5,10,0,7,0,0,0,0,33,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/CharacterUtil.java,org.wltea.analyzer.core.CharacterUtil,class,0,1,1,0,27,1,0,1,1,0.5,0.0,0.0,2,2,0,0,0,2,2,0,0,0,6,6,6,0,0,0,6,0,1,41,7,0,14,0,3,0,12,10,1,7,2,0,0,0,32,0,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet,class,2,6,4,2,24,1,1,1,0,0.44444445,0.6944444,1.0,9,0,0,0,0,9,9,0,0,0,3,0,0,3,0,0,0,0,0,134,20,1,9,0,0,0,13,26,0,9,3,0,1,0,25,0,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/opensearch/src/main/java/com/infinilabs/ik/opensearch/ConfigurationSub.java,com.infinilabs.ik.opensearch.ConfigurationSub,class,6,9,3,6,9,2,0,12,34,0.7777778,0.027777778,0.027777778,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,0,0,1,35,7,0,0,0,0,10,0,5,0,1,0,0,0,0,27,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/cfg/Configuration.java,org.wltea.analyzer.cfg.Configuration,class,1,14,13,1,9,1,2,0,34,0.8518519,0.027777778,0.027777778,9,0,9,0,0,0,9,3,0,0,3,0,0,0,3,0,0,0,0,25,4,0,0,0,0,0,0,4,0,3,0,0,0,0,22,1025,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/QuickSortSet.java,org.wltea.analyzer.core.QuickSortSet$Cell,innerclass,2,2,0,2,6,1,0,1,4,0.6666667,0.3,0.3,5,0,4,0,0,1,5,0,0,0,3,0,0,3,0,0,0,0,0,23,4,0,1,0,0,1,0,1,0,3,1,0,0,0,96,0,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkTokenizerFactory.java,com.infinilabs.ik.elasticsearch.IkTokenizerFactory,class,9,10,1,9,5,2,0,2,4,0.4,0.3,0.3,5,2,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,20,4,0,0,0,0,0,0,1,0,1,0,0,0,0,20,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/CN_QuantifierSegmenter.java,org.wltea.analyzer.core.CN_QuantifierSegmenter,class,8,10,2,8,41,1,0,35,0,0.54761904,0.5,0.5,7,0,2,4,0,1,4,0,0,0,6,3,0,5,0,1,1,0,2,117,4,2,14,0,4,2,22,23,5,13,5,0,0,0,44,0,0
