file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkAnalyzerProvider.java,com.infinilabs.ik.elasticsearch.IkAnalyzerProvider,get/0,analyzer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkAnalyzerProvider.java,com.infinilabs.ik.elasticsearch.IkAnalyzerProvider,"IkAnalyzerProvider/5[com.infinilabs.ik.elasticsearch.IndexSettings,com.infinilabs.ik.elasticsearch.Environment,java.lang.String,com.infinilabs.ik.elasticsearch.Settings,boolean]",analyzer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,logger,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,eTags,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,location,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,last_modified,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,httpclient,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,run/0,configuration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,"Monitor/2[java.lang.String,org.wltea.analyzer.cfg.Configuration]",configuration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,"Monitor/2[java.lang.String,org.wltea.analyzer.cfg.Configuration]",eTags,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,"Monitor/2[java.lang.String,org.wltea.analyzer.cfg.Configuration]",location,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,"Monitor/2[java.lang.String,org.wltea.analyzer.cfg.Configuration]",last_modified,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,init/0,configuration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,init/0,context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,init/0,segmenters,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,init/0,arbitrator,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,getLastUselessCharNum/0,context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],input,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],segmenters,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,input,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,configuration,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,context,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,segmenters,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,arbitrator,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,"IKSegmenter/2[java.io.Reader,org.wltea.analyzer.cfg.Configuration]",input,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,"IKSegmenter/2[java.io.Reader,org.wltea.analyzer.cfg.Configuration]",configuration,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,markBufferOffset/0,cursor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,markBufferOffset/0,buffOffset,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,isBufferConsumed/0,cursor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,isBufferConsumed/0,available,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputSingleCJK/1[int],buffOffset,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputSingleCJK/1[int],charTypes,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputSingleCJK/1[int],results,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,initCursor/0,cursor,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,initCursor/0,cfg,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,initCursor/0,segmentBuff,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,initCursor/0,charTypes,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getNextLexeme/0,results,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getNextLexeme/0,segmentBuff,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,moveCursor/0,cursor,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,moveCursor/0,cfg,1
