file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkAnalyzerProvider.java,com.infinilabs.ik.elasticsearch.IkAnalyzerProvider,get/0,false,29,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkAnalyzerProvider.java,com.infinilabs.ik.elasticsearch.IkAnalyzerProvider,"IkAnalyzerProvider/5[com.infinilabs.ik.elasticsearch.IndexSettings,com.infinilabs.ik.elasticsearch.Environment,java.lang.String,com.infinilabs.ik.elasticsearch.Settings,boolean]",true,13,6,5,2,3,1,1,5,0,1,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkAnalyzerProvider.java,com.infinilabs.ik.elasticsearch.IkAnalyzerProvider,"getIkAnalyzerProvider/4[com.infinilabs.ik.elasticsearch.IndexSettings,com.infinilabs.ik.elasticsearch.Environment,java.lang.String,com.infinilabs.ik.elasticsearch.Settings]",false,25,4,1,0,1,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/elasticsearch/src/main/java/com/infinilabs/ik/elasticsearch/IkAnalyzerProvider.java,com.infinilabs.ik.elasticsearch.IkAnalyzerProvider,"getIkSmartAnalyzerProvider/4[com.infinilabs.ik.elasticsearch.IndexSettings,com.infinilabs.ik.elasticsearch.Environment,java.lang.String,com.infinilabs.ik.elasticsearch.Settings]",false,21,4,1,0,1,1,0,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,runUnprivileged/0,false,63,4,3,1,2,14,19,40,0,3,0,19,0,0,0,9,2,4,12,8,6,3,3,0,0,0,25,1,3,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,run/0,false,46,2,2,0,2,1,3,8,1,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/dic/Monitor.java,org.wltea.analyzer.dic.Monitor,"Monitor/2[java.lang.String,org.wltea.analyzer.cfg.Configuration]",true,39,1,1,1,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,init/0,false,64,3,4,1,3,1,1,5,0,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,7,2,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,getLastUselessCharNum/0,false,153,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,loadSegmenters/0,false,77,5,5,1,4,1,1,8,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,13,2,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,reset/1[java.io.Reader],false,142,2,3,1,2,2,2,7,0,0,1,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,7,33,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,next/0,false,95,5,13,1,12,7,12,29,2,2,0,12,0,0,4,1,0,1,0,1,3,0,4,0,0,0,12,33,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/IKSegmenter.java,org.wltea.analyzer.core.IKSegmenter,"IKSegmenter/2[java.io.Reader,org.wltea.analyzer.cfg.Configuration]",true,54,2,2,1,1,1,1,5,0,0,2,1,1,2,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,markBufferOffset/0,false,220,0,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,isBufferConsumed/0,false,196,0,7,7,0,2,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputSingleCJK/1[int],false,309,1,2,1,1,3,1,10,0,2,1,1,0,0,0,2,0,0,0,2,2,0,1,0,0,0,9,2,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,initCursor/0,false,143,2,4,1,3,1,3,5,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getNextLexeme/0,false,325,3,7,1,6,3,8,14,1,1,0,8,1,1,1,1,0,0,0,0,2,0,2,0,0,0,5,0,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,moveCursor/0,false,154,2,4,1,3,2,3,11,2,0,0,3,0,0,0,0,0,0,0,1,2,1,1,0,0,0,4,0,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getCurrentChar/0,false,99,0,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getCursor/0,false,91,0,8,8,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,outputToResult/0,false,258,4,5,1,4,7,7,30,0,3,0,7,1,1,3,4,0,0,0,2,6,1,5,0,0,0,9,0,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,reset/0,false,353,3,3,2,1,1,3,11,0,0,0,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,getLastUselessCharNum/0,false,346,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/analysis-ik/core/src/main/java/org/wltea/analyzer/core/AnalyzeContext.java,org.wltea.analyzer.core.AnalyzeContext,fillBuffer/1[java.io.Reader],false,117,0,1,1,0,3,3,18,1,2,1,3,0,0,0,1,0,0,0,6,8,2,2,0,0,0,12,0,0,true
