file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-demo/src/in/srain/cube/views/ptr/demo/ui/storehouse/StoreHouseUsingString.java,in.srain.cube.views.ptr.demo.ui.storehouse.StoreHouseUsingString$Anonymous1,onUIReset/1[in.srain.cube.views.ptr.PtrFrameLayout],mLoadTime,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-demo/src/in/srain/cube/views/ptr/demo/ui/storehouse/StoreHouseUsingString.java,in.srain.cube.views.ptr.demo.ui.storehouse.StoreHouseUsingString$Anonymous1,onUIRefreshPrepare/1[in.srain.cube.views.ptr.PtrFrameLayout],mLoadTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,setColor/1[int],mPaint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,setAlpha/1[float],mPaint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,draw/1[in.srain.cube.views.ptr.header.Canvas],mPaint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,setLineWidth/1[int],mPaint,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,resetPosition/1[int],translationX,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,"start/2[float,float]",mToAlpha,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,"start/2[float,float]",mFromAlpha,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/header/StoreHouseBarItem.java,in.srain.cube.views.ptr.header.StoreHouseBarItem,"applyTransformation/2[float,in.srain.cube.views.ptr.header.Transformation]",mToAlpha,1
