file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,"checkCanDoRefresh/3[in.srain.cube.views.ptr.PtrFrameLayout,in.srain.cube.views.ptr.View,in.srain.cube.views.ptr.View]",header,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,"checkCanDoRefresh/3[in.srain.cube.views.ptr.PtrFrameLayout,in.srain.cube.views.ptr.View,in.srain.cube.views.ptr.View]",content,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,"checkCanDoRefresh/3[in.srain.cube.views.ptr.PtrFrameLayout,in.srain.cube.views.ptr.View,in.srain.cube.views.ptr.View]",frame,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,"checkContentCanBePulledDown/3[in.srain.cube.views.ptr.PtrFrameLayout,in.srain.cube.views.ptr.View,in.srain.cube.views.ptr.View]",header,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,"checkContentCanBePulledDown/3[in.srain.cube.views.ptr.PtrFrameLayout,in.srain.cube.views.ptr.View,in.srain.cube.views.ptr.View]",content,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,"checkContentCanBePulledDown/3[in.srain.cube.views.ptr.PtrFrameLayout,in.srain.cube.views.ptr.View,in.srain.cube.views.ptr.View]",frame,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,canChildScrollUp/1[in.srain.cube.views.ptr.View],view,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-lib/src/in/srain/cube/views/ptr/PtrDefaultHandler.java,in.srain.cube.views.ptr.PtrDefaultHandler,canChildScrollUp/1[in.srain.cube.views.ptr.View],absListView,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-demo/src/in/srain/cube/views/ptr/demo/ui/storehouse/StoreHouseUsingString.java,in.srain.cube.views.ptr.demo.ui.storehouse.StoreHouseUsingString$Anonymous1,onUIRefreshComplete/1[in.srain.cube.views.ptr.PtrFrameLayout],frame,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-Ultra-Pull-To-Refresh/ptr-demo/src/in/srain/cube/views/ptr/demo/ui/storehouse/StoreHouseUsingString.java,in.srain.cube.views.ptr.demo.ui.storehouse.StoreHouseUsingString$Anonymous1,onUIReset/1[in.srain.cube.views.ptr.PtrFrameLayout],string,1
