file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],mInsertionAdapter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreateOptionsMenu/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Menu],mInsertionAdapter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,getStart/0,mStart,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,"ItemDraggableRange/2[int,int]",mEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,"ItemDraggableRange/2[int,int]",mStart,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,toString/0,mEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,toString/0,mStart,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,checkInRange/1[int],mEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,checkInRange/1[int],mStart,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,getEnd/0,mEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_d_staggered_grid/DraggableStaggeredGridExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.DraggableStaggeredGridExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.Bundle],FRAGMENT_TAG_DATA_PROVIDER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_d_staggered_grid/DraggableStaggeredGridExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.DraggableStaggeredGridExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.Bundle],FRAGMENT_LIST_VIEW,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_d_staggered_grid/DraggableStaggeredGridExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_d_staggered_grid.DraggableStaggeredGridExampleActivity,getDataProvider/0,FRAGMENT_TAG_DATA_PROVIDER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/swipeable/SwipingItemOperator.java,com.h6ah4i.android.widget.advrecyclerview.swipeable.SwipingItemOperator,"SwipingItemOperator/4[com.h6ah4i.android.widget.advrecyclerview.swipeable.RecyclerViewSwipeManager,RecyclerView.ViewHolder,int,boolean]",mRightSwipeReactionType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/swipeable/SwipingItemOperator.java,com.h6ah4i.android.widget.advrecyclerview.swipeable.SwipingItemOperator,"SwipingItemOperator/4[com.h6ah4i.android.widget.advrecyclerview.swipeable.RecyclerViewSwipeManager,RecyclerView.ViewHolder,int,boolean]",mDownSwipeReactionType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/swipeable/SwipingItemOperator.java,com.h6ah4i.android.widget.advrecyclerview.swipeable.SwipingItemOperator,"SwipingItemOperator/4[com.h6ah4i.android.widget.advrecyclerview.swipeable.RecyclerViewSwipeManager,RecyclerView.ViewHolder,int,boolean]",mLeftSwipeReactionType,1
