file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],container,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],savedInstanceState,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],adapter,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],recyclerView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],message,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreate/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Bundle],clickListener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreateOptionsMenu/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Menu],menuSwitchItem,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreateOptionsMenu/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Menu],buttonView,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreateOptionsMenu/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Menu],actionView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreateOptionsMenu/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Menu],menu,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/example/src/main/java/com/h6ah4i/android/example/advrecyclerview/demo_wa_insertion/CustomInsertionWrapperAdapterExampleActivity.java,com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.CustomInsertionWrapperAdapterExampleActivity,onCreateOptionsMenu/1[com.h6ah4i.android.example.advrecyclerview.demo_wa_insertion.Menu],isChecked,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,"ItemDraggableRange/2[int,int]",start,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,"ItemDraggableRange/2[int,int]",end,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-advancedrecyclerview/library/src/main/java/com/h6ah4i/android/widget/advrecyclerview/draggable/ItemDraggableRange.java,com.h6ah4i.android.widget.advrecyclerview.draggable.ItemDraggableRange,checkInRange/1[int],position,2
