file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/sample/src/main/java/me/grantland/autofittextview/sample/SampleActivity.java,me.grantland.autofittextview.sample.SampleActivity,onCreate/1[me.grantland.autofittextview.sample.Bundle],mOutput,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/sample/src/main/java/me/grantland/autofittextview/sample/SampleActivity.java,me.grantland.autofittextview.sample.SampleActivity,onCreate/1[me.grantland.autofittextview.sample.Bundle],mAutofitOutput,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,"init/3[me.grantland.widget.Context,me.grantland.widget.AttributeSet,int]",mPrecision,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,"init/3[me.grantland.widget.Context,me.grantland.widget.AttributeSet,int]",mMinTextSize,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,"init/3[me.grantland.widget.Context,me.grantland.widget.AttributeSet,int]",mEnabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,"addView/3[me.grantland.widget.View,int,ViewGroup.LayoutParams]",mPrecision,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,"addView/3[me.grantland.widget.View,int,ViewGroup.LayoutParams]",mMinTextSize,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,"addView/3[me.grantland.widget.View,int,ViewGroup.LayoutParams]",mHelpers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,"addView/3[me.grantland.widget.View,int,ViewGroup.LayoutParams]",mEnabled,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,getAutofitHelper/1[int],mHelpers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitLayout.java,me.grantland.widget.AutofitLayout,getAutofitHelper/1[me.grantland.widget.TextView],mHelpers,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,setPrecision/1[float],mHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,setMaxTextSize/1[float],mHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,"setMaxTextSize/2[int,float]",mHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,isSizeToFit/0,mHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,"setMinTextSize/2[int,float]",mHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,setMaxLines/1[int],mHelper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,setLines/1[int],mHelper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,getPrecision/0,mHelper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-autofittextview/library/src/main/java/me/grantland/widget/AutofitTextView.java,me.grantland.widget.AutofitTextView,"setTextSize/2[int,float]",mHelper,2
