file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/butterknife/ButterKnifeFactory.java,com.avast.android.butterknifezelezny.butterknife.ButterKnifeFactory,getSupportedButterKnives/0,sSupportedButterKnives,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/butterknife/ButterKnifeFactory.java,com.avast.android.butterknifezelezny.butterknife.ButterKnifeFactory,findButterKnifeForProject/1[com.avast.android.butterknifezelezny.butterknife.Project],sSupportedButterKnives,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/butterknife/ButterKnifeFactory.java,com.avast.android.butterknifezelezny.butterknife.ButterKnifeFactory,"findButterKnifeForPsiElement/2[com.avast.android.butterknifezelezny.butterknife.Project,com.avast.android.butterknifezelezny.butterknife.PsiElement]",sSupportedButterKnives,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/butterknife/ButterKnife6.java,com.avast.android.butterknifezelezny.butterknife.ButterKnife6,getSimpleBindStatement/0,mSimpleBindStatement,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/butterknife/ButterKnife6.java,com.avast.android.butterknifezelezny.butterknife.ButterKnife6,getFieldAnnotationSimpleName/0,mFieldAnnotationSimpleName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/butterknife/ButterKnife6.java,com.avast.android.butterknifezelezny.butterknife.ButterKnife6,getSimpleUnbindStatement/0,mSimpleUnbindStatement,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/form/Entry.java,com.avast.android.butterknifezelezny.form.Entry,syncElement/0,mElement,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/form/Entry.java,com.avast.android.butterknifezelezny.form.Entry,syncElement/0,mCheck,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/form/Entry.java,com.avast.android.butterknifezelezny.form.Entry,syncElement/0,mName,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-butterknife-zelezny/src/com/avast/android/butterknifezelezny/form/Entry.java,com.avast.android.butterknifezelezny.form.Entry,syncElement/0,mNameErrorColor,1
