file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/DigestUtils.java,cn.trinea.android.common.util.DigestUtils,encodeHex/1[byte[]],DIGITS_LOWER,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,entrySet/0,cache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,getValidTime/0,validTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,getSize/0,cache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,keySet/0,cache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,getHitCount/0,hitCount,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,getHitRate/0,hitCount,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,getHitRate/0,missCount,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,"put/2[K,V]",validTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,getMissCount/0,missCount,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,SimpleCache/0,DEFAULT_MAX_SIZE,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,removeExpired/0,cache,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,removeExpired/0,validTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,SimpleCache/1[int],cacheFullRemoveType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,SimpleCache/1[int],cache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,SimpleCache/1[int],maxSize,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,SimpleCache/1[int],validTime,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,"put/2[K,cn.trinea.android.common.entity.CacheObject<V>]",cacheFullRemoveType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,"put/2[K,cn.trinea.android.common.entity.CacheObject<V>]",cache,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/service/impl/SimpleCache.java,cn.trinea.android.common.service.impl.SimpleCache,"put/2[K,cn.trinea.android.common.entity.CacheObject<V>]",maxSize,1
