file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,SlideOnePageGallery/1[cn.trinea.android.common.view.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"isScrollingLeft/2[cn.trinea.android.common.view.MotionEvent,cn.trinea.android.common.view.MotionEvent]",e1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"isScrollingLeft/2[cn.trinea.android.common.view.MotionEvent,cn.trinea.android.common.view.MotionEvent]",e2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"onFling/4[cn.trinea.android.common.view.MotionEvent,cn.trinea.android.common.view.MotionEvent,float,float]",kEvent,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"onFling/4[cn.trinea.android.common.view.MotionEvent,cn.trinea.android.common.view.MotionEvent,float,float]",velocityX,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"onFling/4[cn.trinea.android.common.view.MotionEvent,cn.trinea.android.common.view.MotionEvent,float,float]",e1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"onFling/4[cn.trinea.android.common.view.MotionEvent,cn.trinea.android.common.view.MotionEvent,float,float]",e2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"onFling/4[cn.trinea.android.common.view.MotionEvent,cn.trinea.android.common.view.MotionEvent,float,float]",velocityY,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"SlideOnePageGallery/3[cn.trinea.android.common.view.Context,cn.trinea.android.common.view.AttributeSet,int]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"SlideOnePageGallery/3[cn.trinea.android.common.view.Context,cn.trinea.android.common.view.AttributeSet,int]",defStyle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"SlideOnePageGallery/3[cn.trinea.android.common.view.Context,cn.trinea.android.common.view.AttributeSet,int]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"SlideOnePageGallery/2[cn.trinea.android.common.view.Context,cn.trinea.android.common.view.AttributeSet]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/view/SlideOnePageGallery.java,cn.trinea.android.common.view.SlideOnePageGallery,"SlideOnePageGallery/2[cn.trinea.android.common.view.Context,cn.trinea.android.common.view.AttributeSet]",attrs,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous3,onGetData/1[java.lang.String],key,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous2,"onPreGet/2[java.lang.String,cn.trinea.android.common.util.View]",view,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous2,"onPreGet/2[java.lang.String,cn.trinea.android.common.util.View]",imageUrl,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous2,"onGetSuccess/4[java.lang.String,java.lang.String,cn.trinea.android.common.util.View,boolean]",isInCache,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous2,"onGetSuccess/4[java.lang.String,java.lang.String,cn.trinea.android.common.util.View,boolean]",view,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous2,"onGetSuccess/4[java.lang.String,java.lang.String,cn.trinea.android.common.util.View,boolean]",imagePath,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous2,"onGetSuccess/4[java.lang.String,java.lang.String,cn.trinea.android.common.util.View,boolean]",imageUrl,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-common/src/cn/trinea/android/common/util/ImageCacheManager.java,cn.trinea.android.common.util.ImageCacheManager$Anonymous2,"onGetSuccess/4[java.lang.String,java.lang.String,cn.trinea.android.common.util.View,boolean]",imageView,2
