file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,exceptionThrownWhenPixelsArrayTooSmall/0,gifDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,exceptionThrownWhenPixelsArrayTooSmall/0,expectedException,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,exceptionThrownWhenPixelCoordinateXOutOfRange/0,gifDrawable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,exceptionThrownWhenPixelCoordinateXOutOfRange/0,expectedException,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,tearDown/0,gifDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,frameIndexOutOfBoundsMessageContainsRange/0,gifDrawable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,frameIndexOutOfBoundsMessageContainsRange/0,expectedException,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,exceptionThrownWhenPixelCoordinateYOutOfRange/0,gifDrawable,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,exceptionThrownWhenPixelCoordinateYOutOfRange/0,expectedException,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/androidTest/java/pl/droidsonroids/gif/GifDrawableExceptionTest.java,pl.droidsonroids.gif.GifDrawableExceptionTest,setUp/0,gifDrawable,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifViewSavedState.java,pl.droidsonroids.gif.GifViewSavedState,"restoreState/2[pl.droidsonroids.gif.Drawable,int]",mStates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifViewSavedState.java,pl.droidsonroids.gif.GifViewSavedState,GifViewSavedState/1[pl.droidsonroids.gif.Parcel],mStates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifViewSavedState.java,pl.droidsonroids.gif.GifViewSavedState,"GifViewSavedState/2[pl.droidsonroids.gif.Parcelable,long[]]",mStates,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifViewSavedState.java,pl.droidsonroids.gif.GifViewSavedState,"writeToParcel/2[pl.droidsonroids.gif.Parcel,int]",mStates,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifViewSavedState.java,pl.droidsonroids.gif.GifViewSavedState,"GifViewSavedState/2[pl.droidsonroids.gif.Parcelable,pl.droidsonroids.gif.Drawable[]]",mStates,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/InputSource.java,pl.droidsonroids.gif.InputSource$InputStreamSource,InputStreamSource/1[java.io.InputStream],inputStream,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/InputSource.java,pl.droidsonroids.gif.InputSource$InputStreamSource,open/0,inputStream,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,isAnimated/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,"seekToFrame/2[int,pl.droidsonroids.gif.Bitmap]",mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getNumberOfFrames/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getAllocationByteCount/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,recycle/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,checkBuffer/1[pl.droidsonroids.gif.Bitmap],mGifInfoHandle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getLoopCount/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,"seekToTime/2[int,pl.droidsonroids.gif.Bitmap]",mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,"GifDecoder/2[pl.droidsonroids.gif.InputSource,pl.droidsonroids.gif.GifOptions]",mGifInfoHandle,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getDuration/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getWidth/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getHeight/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getSourceLength/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getFrameDuration/1[int],mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifDecoder.java,pl.droidsonroids.gif.GifDecoder,getComment/0,mGifInfoHandle,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/ConditionVariable.java,pl.droidsonroids.gif.ConditionVariable,open/0,mCondition,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/ConditionVariable.java,pl.droidsonroids.gif.ConditionVariable,close/0,mCondition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/ConditionVariable.java,pl.droidsonroids.gif.ConditionVariable,block/0,mCondition,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,"init/3[pl.droidsonroids.gif.AttributeSet,int,int]",sScaleTypeArray,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,"init/3[pl.droidsonroids.gif.AttributeSet,int,int]",viewAttributes,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,"init/3[pl.droidsonroids.gif.AttributeSet,int,int]",mInputSource,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,"init/3[pl.droidsonroids.gif.AttributeSet,int,int]",mRenderThread,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,"init/3[pl.droidsonroids.gif.AttributeSet,int,int]",mScaleType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,setScaleType/1[pl.droidsonroids.gif.ScaleType],mScaleType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,onDetachedFromWindow/0,mRenderThread,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,setSpeed/1[float],mSpeedFactor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,getScaleType/0,mScaleType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,"setInputSource/2[pl.droidsonroids.gif.InputSource,pl.droidsonroids.gif.GifTextureView.PlaceholderDrawListener]",mInputSource,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,"setInputSource/2[pl.droidsonroids.gif.InputSource,pl.droidsonroids.gif.GifTextureView.PlaceholderDrawListener]",mRenderThread,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,setTransform/1[pl.droidsonroids.gif.Matrix],mTransform,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,setOpaque/1[boolean],mInputSource,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,getTransform/1[pl.droidsonroids.gif.Matrix],mTransform,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gif-drawable/android-gif-drawable/src/main/java/pl/droidsonroids/gif/GifTextureView.java,pl.droidsonroids.gif.GifTextureView,updateTextureViewSize/1[pl.droidsonroids.gif.GifInfoHandle],mTransform,1
