file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,setFilter/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],filter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,setFilter/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],runOnDraw,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,deleteImage/0,runOnDraw,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,setScaleType/1[jp.co.cyberagent.android.gpuimage.GPUImage.ScaleType],scaleType,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,isFlippedVertically/0,flipVertical,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,imageWidth,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,outputWidth,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,scaleType,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,outputHeight,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,flipHorizontal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,rotation,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,glCubeBuffer,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,flipVertical,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,CUBE,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,glTextureBuffer,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,adjustImageScaling/0,imageHeight,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,getFrameWidth/0,outputWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,runOnDrawEnd/1[java.lang.Runnable],runOnDrawEnd,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,GPUImageRenderer/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],filter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,GPUImageRenderer/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],runOnDrawEnd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,GPUImageRenderer/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],runOnDraw,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,GPUImageRenderer/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],glCubeBuffer,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,GPUImageRenderer/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],CUBE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,GPUImageRenderer/1[jp.co.cyberagent.android.gpuimage.filter.GPUImageFilter],glTextureBuffer,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,setUpSurfaceTexture/1[jp.co.cyberagent.android.gpuimage.Camera],runOnDraw,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"onSurfaceChanged/3[jp.co.cyberagent.android.gpuimage.GL10,int,int]",filter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"onSurfaceChanged/3[jp.co.cyberagent.android.gpuimage.GL10,int,int]",outputWidth,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"onSurfaceChanged/3[jp.co.cyberagent.android.gpuimage.GL10,int,int]",outputHeight,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"onSurfaceChanged/3[jp.co.cyberagent.android.gpuimage.GL10,int,int]",surfaceChangedWaiter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,isFlippedHorizontally/0,flipHorizontal,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"setBackgroundColor/3[float,float,float]",backgroundRed,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"setBackgroundColor/3[float,float,float]",backgroundGreen,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"setBackgroundColor/3[float,float,float]",backgroundBlue,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"setRotationCamera/3[jp.co.cyberagent.android.gpuimage.util.Rotation,boolean,boolean]",flipHorizontal,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"setRotationCamera/3[jp.co.cyberagent.android.gpuimage.util.Rotation,boolean,boolean]",rotation,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-gpuimage/library/src/main/java/jp/co/cyberagent/android/gpuimage/GPUImageRenderer.java,jp.co.cyberagent.android.gpuimage.GPUImageRenderer,"setRotationCamera/3[jp.co.cyberagent.android.gpuimage.util.Rotation,boolean,boolean]",flipVertical,2
