file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/MainActivity.java,com.joanzapata.iconify.sample.MainActivity,onCreate/1[com.joanzapata.iconify.sample.Bundle],toolbar,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/MainActivity.java,com.joanzapata.iconify.sample.MainActivity,onCreate/1[com.joanzapata.iconify.sample.Bundle],tabLayout,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/MainActivity.java,com.joanzapata.iconify.sample.MainActivity,onCreate/1[com.joanzapata.iconify.sample.Bundle],viewPager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/IconAdapter.java,com.joanzapata.iconify.sample.IconAdapter,IconAdapter/1[com.joanzapata.iconify.Icon[]],icons,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/IconAdapter.java,com.joanzapata.iconify.sample.IconAdapter,"onBindViewHolder/2[com.joanzapata.iconify.sample.IconAdapter.ViewHolder,int]",icons,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-material-community/src/main/java/com/joanzapata/iconify/fonts/MaterialCommunityIcons.java,com.joanzapata.iconify.fonts.MaterialCommunityIcons,character/0,character,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-material-community/src/main/java/com/joanzapata/iconify/fonts/MaterialCommunityIcons.java,com.joanzapata.iconify.fonts.MaterialCommunityIcons,MaterialCommunityIcons/1[char],character,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/FontIconsViewPagerAdapter.java,com.joanzapata.iconify.sample.FontIconsViewPagerAdapter,FontIconsViewPagerAdapter/1[com.joanzapata.iconify.sample.FontIconsViewPagerAdapter.FontWithTitle[]],fonts,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/FontIconsViewPagerAdapter.java,com.joanzapata.iconify.sample.FontIconsViewPagerAdapter,"instantiateItem/2[com.joanzapata.iconify.sample.ViewGroup,int]",fonts,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-sample/src/main/java/com/joanzapata/iconify/sample/FontIconsViewPagerAdapter.java,com.joanzapata.iconify.sample.FontIconsViewPagerAdapter,getPageTitle/1[int],fonts,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-ionicons/src/main/java/com/joanzapata/iconify/fonts/IoniconsIcons.java,com.joanzapata.iconify.fonts.IoniconsIcons,IoniconsIcons/1[char],character,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-ionicons/src/main/java/com/joanzapata/iconify/fonts/IoniconsIcons.java,com.joanzapata.iconify.fonts.IoniconsIcons,character/0,character,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify/src/main/java/com/joanzapata/iconify/widget/IconToggleButton.java,com.joanzapata.iconify.widget.IconToggleButton,setOnViewAttachListener/1[com.joanzapata.iconify.internal.HasOnViewAttachListener.OnViewAttachListener],delegate,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify/src/main/java/com/joanzapata/iconify/widget/IconToggleButton.java,com.joanzapata.iconify.widget.IconToggleButton,onDetachedFromWindow/0,delegate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify/src/main/java/com/joanzapata/iconify/widget/IconToggleButton.java,com.joanzapata.iconify.widget.IconToggleButton,onAttachedToWindow/0,delegate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-meteocons/src/main/java/com/joanzapata/iconify/fonts/MeteoconsIcons.java,com.joanzapata.iconify.fonts.MeteoconsIcons,character/0,character,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-meteocons/src/main/java/com/joanzapata/iconify/fonts/MeteoconsIcons.java,com.joanzapata.iconify.fonts.MeteoconsIcons,MeteoconsIcons/1[char],character,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-typicons/src/main/java/com/joanzapata/iconify/fonts/TypiconsIcons.java,com.joanzapata.iconify.fonts.TypiconsIcons,character/0,character,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify-typicons/src/main/java/com/joanzapata/iconify/fonts/TypiconsIcons.java,com.joanzapata.iconify.fonts.TypiconsIcons,TypiconsIcons/1[char],character,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify/src/main/java/com/joanzapata/iconify/internal/CustomTypefaceSpan.java,com.joanzapata.iconify.internal.CustomTypefaceSpan,isAnimated/0,rotate,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify/src/main/java/com/joanzapata/iconify/internal/CustomTypefaceSpan.java,com.joanzapata.iconify.internal.CustomTypefaceSpan,"getSize/5[com.joanzapata.iconify.internal.Paint,java.lang.CharSequence,int,int,Paint.FontMetricsInt]",baselineAligned,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify/src/main/java/com/joanzapata/iconify/internal/CustomTypefaceSpan.java,com.joanzapata.iconify.internal.CustomTypefaceSpan,"getSize/5[com.joanzapata.iconify.internal.Paint,java.lang.CharSequence,int,int,Paint.FontMetricsInt]",icon,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-iconify/android-iconify/src/main/java/com/joanzapata/iconify/internal/CustomTypefaceSpan.java,com.joanzapata.iconify.internal.CustomTypefaceSpan,"getSize/5[com.joanzapata.iconify.internal.Paint,java.lang.CharSequence,int,int,Paint.FontMetricsInt]",TEXT_BOUNDS,4
