file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,saveSuccess/1[boolean],DATE_FORMAT,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,getSuccessFile/0,mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,DemoSyncEngine/1[com.evernote.android.job.demo.Context],mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,runJob/0,mJob,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,call/0,mJob,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,call/0,mWakeLock,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,"handleResult/2[com.evernote.android.job.Job,com.evernote.android.job.Job.Result]",mJob,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,JobCallable/1[com.evernote.android.job.Job],mJob,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,JobCallable/1[com.evernote.android.job.Job],mWakeLock,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/androidTest/java/com/evernote/android/job/v21/TransientBundleCompatTest.java,com.evernote.android.job.v21.TransientBundleCompatTest,verifyAlarmIsCanceledAfterStart/0,mJobManagerRule,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/androidTest/java/com/evernote/android/job/v21/TransientBundleCompatTest.java,com.evernote.android.job.v21.TransientBundleCompatTest,verifyAlarmNotCanceledForPeriodicAfterStart/0,mJobManagerRule,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/androidTest/java/com/evernote/android/job/v21/TransientBundleCompatTest.java,com.evernote.android.job.v21.TransientBundleCompatTest,verifyAlarmIsCanceled/0,mJobManagerRule,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/androidTest/java/com/evernote/android/job/v21/TransientBundleCompatTest.java,com.evernote.android.job.v21.TransientBundleCompatTest,scheduleJob/0,mJobManagerRule,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/util/BatteryStatus.java,com.evernote.android.job.util.BatteryStatus,isCharging/0,mCharging,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/util/BatteryStatus.java,com.evernote.android.job.util.BatteryStatus,getBatteryPercent/0,mBatteryPercent,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/util/BatteryStatus.java,com.evernote.android.job.util.BatteryStatus,"BatteryStatus/2[boolean,float]",mBatteryPercent,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/util/BatteryStatus.java,com.evernote.android.job.util.BatteryStatus,"BatteryStatus/2[boolean,float]",mCharging,1
