file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,saveSuccess/1[boolean],e,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,saveSuccess/1[boolean],success,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,saveSuccess/1[boolean],text,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,getSuccessHistory/0,data,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,getSuccessHistory/0,e,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,sync/0,success,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/demo/src/main/java/com/evernote/android/job/demo/DemoSyncEngine.java,com.evernote.android.job.demo.DemoSyncEngine,DemoSyncEngine/1[com.evernote.android.job.demo.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,runJob/0,result,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,runJob/0,t,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,"handleResult/2[com.evernote.android.job.Job,com.evernote.android.job.Job.Result]",result,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,"handleResult/2[com.evernote.android.job.Job,com.evernote.android.job.Job.Result]",request,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-job/library/src/main/java/com/evernote/android/job/JobExecutor.java,com.evernote.android.job.JobExecutor$JobCallable,"handleResult/2[com.evernote.android.job.Job,com.evernote.android.job.Job.Result]",updateLastRun,4
