file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/androidTest/java/com/mindorks/framework/mvp/di/module/ApplicationTestModule.java,com.mindorks.framework.mvp.di.module.ApplicationTestModule,provideApplication/0,mApplication,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/androidTest/java/com/mindorks/framework/mvp/di/module/ApplicationTestModule.java,com.mindorks.framework.mvp.di.module.ApplicationTestModule,ApplicationTestModule/1[com.mindorks.framework.mvp.di.module.Application],mApplication,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/androidTest/java/com/mindorks/framework/mvp/di/module/ApplicationTestModule.java,com.mindorks.framework.mvp.di.module.ApplicationTestModule,provideContext/0,mApplication,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,getDescription/0,description,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,setDescription/1[java.lang.String],description,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,setDate/1[java.lang.String],date,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,getDate/0,date,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,getCoverImgUrl/0,coverImgUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,getAuthor/0,author,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,setCoverImgUrl/1[java.lang.String],coverImgUrl,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,setTitle/1[java.lang.String],title,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,equals/1[java.lang.Object],coverImgUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,equals/1[java.lang.Object],date,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,equals/1[java.lang.Object],author,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,equals/1[java.lang.Object],blogUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,equals/1[java.lang.Object],description,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,equals/1[java.lang.Object],title,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,hashCode/0,coverImgUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,hashCode/0,date,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,hashCode/0,author,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-mvp-architecture/app/src/main/java/com/mindorks/framework/mvp/data/network/model/BlogResponse.java,com.mindorks.framework.mvp.data.network.model.BlogResponse$Blog,hashCode/0,blogUrl,1
