file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/test/java/com/birbit/android/jobqueue/test/jobmanager/RetryLogicTest.java,com.birbit.android.jobqueue.test.jobmanager.RetryLogicTest$CancelCallback,"on/3[com.birbit.android.jobqueue.Job,int,java.lang.Throwable]",throwable,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/test/java/com/birbit/android/jobqueue/test/jobmanager/RetryLogicTest.java,com.birbit.android.jobqueue.test.jobmanager.RetryLogicTest$CancelCallback,"on/3[com.birbit.android.jobqueue.Job,int,java.lang.Throwable]",job,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/test/java/com/birbit/android/jobqueue/test/jobmanager/RetryLogicTest.java,com.birbit.android.jobqueue.test.jobmanager.RetryLogicTest$CancelCallback,"on/3[com.birbit.android.jobqueue.Job,int,java.lang.Throwable]",cancelReason,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,"scheduler/2[com.birbit.android.jobqueue.scheduling.Scheduler,boolean]",scheduler,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,"scheduler/2[com.birbit.android.jobqueue.scheduling.Scheduler,boolean]",batch,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,customLogger/1[com.birbit.android.jobqueue.log.CustomLogger],logger,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,consumerThreadPriority/1[int],threadPriority,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,minConsumerCount/1[int],count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,timer/1[com.birbit.android.jobqueue.timer.Timer],timer,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,loadFactor/1[int],loadFactor,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,id/1[java.lang.String],id,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,maxConsumerCount/1[int],count,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-priority-jobqueue/jobqueue/src/main/java/com/birbit/android/jobqueue/config/Configuration.java,com.birbit.android.jobqueue.config.Configuration$Builder,queueFactory/1[com.birbit.android.jobqueue.QueueFactory],queueFactory,4
