file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/QuickRuleUnorderedTest.java,com.mobsandgeeks.saripaar.tests.QuickRuleUnorderedTest,testValidZipCodeNoQuickRule_success/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/QuickRuleUnorderedTest.java,com.mobsandgeeks.saripaar.tests.QuickRuleUnorderedTest,testZipCodeAirtelNumberQuickRuleValid_success/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/QuickRuleUnorderedTest.java,com.mobsandgeeks.saripaar.tests.QuickRuleUnorderedTest,testValidZipCodeAirtelNumberQuickRule_failure/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/QuickRuleUnorderedTest.java,com.mobsandgeeks.saripaar.tests.QuickRuleUnorderedTest,setUp/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/QuickRuleUnorderedTest.java,com.mobsandgeeks.saripaar.tests.QuickRuleUnorderedTest,testInvalidZipCodeInvalidAirtelNumberQuickRule_failure/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/QuickRuleUnorderedTest.java,com.mobsandgeeks.saripaar.tests.QuickRuleUnorderedTest,testInvalidZipCodeNoQuickRule_failure/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/UnorderedSequencingTest.java,com.mobsandgeeks.saripaar.tests.UnorderedSequencingTest,setUp/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/UnorderedSequencingTest.java,com.mobsandgeeks.saripaar.tests.UnorderedSequencingTest,testBurst_failure/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/androidTest/java/com/mobsandgeeks/saripaar/tests/UnorderedSequencingTest.java,com.mobsandgeeks.saripaar.tests.UnorderedSequencingTest,testImmediate_crash/0,mResultTextView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-saripaar/saripaar-tests/src/main/java/com/mobsandgeeks/saripaar/tests/ui/ValidateInvisibleViewsActivity.java,com.mobsandgeeks.saripaar.tests.ui.ValidateInvisibleViewsActivity,onClick/1[com.mobsandgeeks.saripaar.tests.ui.View],mValidator,1
