file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/JavaBlurProcess.java,com.enrique.stackblur.JavaBlurProcess$BlurTask,"BlurTask/7[int[],int,int,int,int,int,int]",coreIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/JavaBlurProcess.java,com.enrique.stackblur.JavaBlurProcess$BlurTask,"BlurTask/7[int[],int,int,int,int,int,int]",round,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/JavaBlurProcess.java,com.enrique.stackblur.JavaBlurProcess$BlurTask,"BlurTask/7[int[],int,int,int,int,int,int]",src,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/JavaBlurProcess.java,com.enrique.stackblur.JavaBlurProcess$BlurTask,"BlurTask/7[int[],int,int,int,int,int,int]",w,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/JavaBlurProcess.java,com.enrique.stackblur.JavaBlurProcess$BlurTask,"BlurTask/7[int[],int,int,int,int,int,int]",totalCores,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/JavaBlurProcess.java,com.enrique.stackblur.JavaBlurProcess$BlurTask,"BlurTask/7[int[],int,int,int,int,int,int]",h,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/JavaBlurProcess.java,com.enrique.stackblur.JavaBlurProcess$BlurTask,"BlurTask/7[int[],int,int,int,int,int,int]",radius,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/StackBlurManager.java,com.enrique.stackblur.StackBlurManager,processNatively/1[int],blur,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/StackBlurManager.java,com.enrique.stackblur.StackBlurManager,processNatively/1[int],radius,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/StackBlurManager.java,com.enrique.stackblur.StackBlurManager,StackBlurManager/1[com.enrique.stackblur.Bitmap],image,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/StackBlurManager.java,com.enrique.stackblur.StackBlurManager,"processRenderScript/2[com.enrique.stackblur.Context,float]",blurProcess,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-stackblur/StackBlur/src/main/java/com/enrique/stackblur/StackBlurManager.java,com.enrique.stackblur.StackBlurManager,"processRenderScript/2[com.enrique.stackblur.Context,float]",e,1
