file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/library/src/main/java/com/squareup/timessquare/CalendarRowView.java,com.squareup.timessquare.CalendarRowView,setListener/1[com.squareup.timessquare.MonthView.Listener],listener,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/library/src/main/java/com/squareup/timessquare/CalendarRowView.java,com.squareup.timessquare.CalendarRowView,setIsHeaderRow/1[boolean],isHeaderRow,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/library/src/main/java/com/squareup/timessquare/CalendarRowView.java,com.squareup.timessquare.CalendarRowView,onClick/1[com.squareup.timessquare.View],listener,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/library/src/main/java/com/squareup/timessquare/CalendarRowView.java,com.squareup.timessquare.CalendarRowView,"onMeasure/2[int,int]",isHeaderRow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,"initButtonListeners/2[java.util.Calendar,java.util.Calendar]",modeButtons,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,"showCalendarInDialog/2[java.lang.String,int]",theDialog,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,"showCalendarInDialog/2[java.lang.String,int]",dialogView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,onCreate/1[com.squareup.timessquare.sample.Bundle],calendar,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,onConfigurationChanged/1[com.squareup.timessquare.sample.Configuration],theDialog,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,onConfigurationChanged/1[com.squareup.timessquare.sample.Configuration],TAG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,onConfigurationChanged/1[com.squareup.timessquare.sample.Configuration],dialogView,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/sample/src/main/java/com/squareup/timessquare/sample/SampleTimesSquareActivity.java,com.squareup.timessquare.sample.SampleTimesSquareActivity,setButtonsEnabled/1[com.squareup.timessquare.sample.Button],modeButtons,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/library/src/main/java/com/squareup/timessquare/CalendarPickerView.java,com.squareup.timessquare.CalendarPickerView$MonthCellWithMonthIndex,"MonthCellWithMonthIndex/2[com.squareup.timessquare.MonthCellDescriptor,int]",monthIndex,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/library/src/main/java/com/squareup/timessquare/CalendarPickerView.java,com.squareup.timessquare.CalendarPickerView$MonthCellWithMonthIndex,"MonthCellWithMonthIndex/2[com.squareup.timessquare.MonthCellDescriptor,int]",cell,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-times-square/library/src/test/java/com/squareup/timessquare/CalendarPickerViewTest.java,com.squareup.timessquare.CalendarPickerViewTest$Anonymous1,onCellClicked/1[java.util.Date],cal,3
