file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,restartPreviewAndDecode/0,fragment,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,restartPreviewAndDecode/0,decodeThread,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,restartPreviewAndDecode/0,state,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,handleMessage/1[com.uuzuche.lib_zxing.decoding.Message],fragment,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,handleMessage/1[com.uuzuche.lib_zxing.decoding.Message],decodeThread,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,handleMessage/1[com.uuzuche.lib_zxing.decoding.Message],state,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,handleMessage/1[com.uuzuche.lib_zxing.decoding.Message],TAG,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,"CaptureActivityHandler/4[com.uuzuche.lib_zxing.activity.CaptureFragment,java.util.Vector<com.google.zxing.BarcodeFormat>,java.lang.String,com.uuzuche.lib_zxing.view.ViewfinderView]",fragment,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,"CaptureActivityHandler/4[com.uuzuche.lib_zxing.activity.CaptureFragment,java.util.Vector<com.google.zxing.BarcodeFormat>,java.lang.String,com.uuzuche.lib_zxing.view.ViewfinderView]",decodeThread,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,"CaptureActivityHandler/4[com.uuzuche.lib_zxing.activity.CaptureFragment,java.util.Vector<com.google.zxing.BarcodeFormat>,java.lang.String,com.uuzuche.lib_zxing.view.ViewfinderView]",state,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,quitSynchronously/0,decodeThread,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/decoding/CaptureActivityHandler.java,com.uuzuche.lib_zxing.decoding.CaptureActivityHandler,quitSynchronously/0,state,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"PreviewCallback/2[com.uuzuche.lib_zxing.camera.CameraConfigurationManager,boolean]",useOneShotPreviewCallback,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"PreviewCallback/2[com.uuzuche.lib_zxing.camera.CameraConfigurationManager,boolean]",configManager,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"setHandler/2[com.uuzuche.lib_zxing.camera.Handler,int]",previewHandler,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"setHandler/2[com.uuzuche.lib_zxing.camera.Handler,int]",previewMessage,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"onPreviewFrame/2[byte[],com.uuzuche.lib_zxing.camera.Camera]",useOneShotPreviewCallback,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"onPreviewFrame/2[byte[],com.uuzuche.lib_zxing.camera.Camera]",previewHandler,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"onPreviewFrame/2[byte[],com.uuzuche.lib_zxing.camera.Camera]",TAG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"onPreviewFrame/2[byte[],com.uuzuche.lib_zxing.camera.Camera]",configManager,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/PreviewCallback.java,com.uuzuche.lib_zxing.camera.PreviewCallback,"onPreviewFrame/2[byte[],com.uuzuche.lib_zxing.camera.Camera]",previewMessage,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/DisplayUtil.java,com.uuzuche.lib_zxing.DisplayUtil,"px2dip/2[com.uuzuche.lib_zxing.Context,float]",density,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/DisplayUtil.java,com.uuzuche.lib_zxing.DisplayUtil,"dip2px/2[com.uuzuche.lib_zxing.Context,float]",density,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,"buildLuminanceSource/3[byte[],int,int]",configManager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,getCamera/0,camera,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,getPreviewCallback/0,previewCallback,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,get/0,cameraManager,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,getFramingRectInPreview/0,configManager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,getFramingRectInPreview/0,framingRectInPreview,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,init/1[com.uuzuche.lib_zxing.camera.Context],context,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,init/1[com.uuzuche.lib_zxing.camera.Context],cameraManager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,setPreviewing/1[boolean],previewing,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,"requestPreviewFrame/2[com.uuzuche.lib_zxing.camera.Handler,int]",useOneShotPreviewCallback,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android-zxingLibrary/lib-zxing/src/main/java/com/uuzuche/lib_zxing/camera/CameraManager.java,com.uuzuche.lib_zxing.camera.CameraManager,"requestPreviewFrame/2[com.uuzuche.lib_zxing.camera.Handler,int]",camera,3
