file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],exc,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],file,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],bufferedWriter,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],e,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],reader,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],scanner,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],location,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],source,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,doInBackground/1[java.lang.Object[]],params,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,"TextLoadAsyncTask/2[java.lang.ref.WeakReference<com.owncloud.android.ui.preview.TextView>,java.lang.ref.WeakReference<com.owncloud.android.ui.preview.FrameLayout>]",progressView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,"TextLoadAsyncTask/2[java.lang.ref.WeakReference<com.owncloud.android.ui.preview.TextView>,java.lang.ref.WeakReference<com.owncloud.android.ui.preview.FrameLayout>]",textView,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,onPostExecute/1[java.io.StringWriter],stringWriter,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,onPostExecute/1[java.io.StringWriter],progress,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/preview/PreviewTextFileFragment.java,com.owncloud.android.ui.preview.PreviewTextFileFragment$TextLoadAsyncTask,onPostExecute/1[java.io.StringWriter],textView,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,setStorageMigrationProgressListener/1[com.owncloud.android.ui.activity.StorageMigration.StorageMigrationProgressListener],listener,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,createMigrationProgressDialog/0,progressDialog,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,migrate/0,progressDialog,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,askToOverride/0,dialogInterface,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,askToOverride/0,progressDialog,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,askToOverride/0,builder,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,askToOverride/0,i,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"StorageMigration/5[com.owncloud.android.ui.activity.Context,com.owncloud.android.ui.activity.User,java.lang.String,java.lang.String,com.owncloud.android.ui.activity.ViewThemeUtils]",viewThemeUtils,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"StorageMigration/5[com.owncloud.android.ui.activity.Context,com.owncloud.android.ui.activity.User,java.lang.String,java.lang.String,com.owncloud.android.ui.activity.ViewThemeUtils]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"StorageMigration/5[com.owncloud.android.ui.activity.Context,com.owncloud.android.ui.activity.User,java.lang.String,java.lang.String,com.owncloud.android.ui.activity.ViewThemeUtils]",targetPath,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"StorageMigration/5[com.owncloud.android.ui.activity.Context,com.owncloud.android.ui.activity.User,java.lang.String,java.lang.String,com.owncloud.android.ui.activity.ViewThemeUtils]",user,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"StorageMigration/5[com.owncloud.android.ui.activity.Context,com.owncloud.android.ui.activity.User,java.lang.String,java.lang.String,com.owncloud.android.ui.activity.ViewThemeUtils]",sourcePath,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,storageFolderAlreadyExists/0,f,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"a/2[com.owncloud.android.ui.activity.ViewThemeUtils,com.owncloud.android.ui.activity.Context]",viewThemeUtils,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"a/2[com.owncloud.android.ui.activity.ViewThemeUtils,com.owncloud.android.ui.activity.Context]",dialogInterface,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"a/2[com.owncloud.android.ui.activity.ViewThemeUtils,com.owncloud.android.ui.activity.Context]",context,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"a/2[com.owncloud.android.ui.activity.ViewThemeUtils,com.owncloud.android.ui.activity.Context]",builder,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"a/2[com.owncloud.android.ui.activity.ViewThemeUtils,com.owncloud.android.ui.activity.Context]",i,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/activity/StorageMigration.java,com.owncloud.android.ui.activity.StorageMigration,"a/2[com.owncloud.android.ui.activity.ViewThemeUtils,com.owncloud.android.ui.activity.Context]",alertDialog,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/fragment/OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,isGridViewPreferred/1[com.owncloud.android.datamodel.OCFile],folder,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/fragment/OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,setSearchFragment/1[boolean],searchFragment,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/fragment/OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,isAPKorAAB/1[java.util.Set<com.owncloud.android.datamodel.OCFile>],file,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/fragment/OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,isAPKorAAB/1[java.util.Set<com.owncloud.android.datamodel.OCFile>],files,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/fragment/OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,setTitle/1[int],title,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/android/app/src/main/java/com/owncloud/android/ui/fragment/OCFileListFragment.java,com.owncloud.android.ui.fragment.OCFileListFragment,selectAllFiles/1[boolean],ocFileListAdapter,3
