file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,"IntentFilterData/3[java.lang.String[],java.lang.String[],org.androidannotations.holder.RegisterAt]",dataSchemeSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,"IntentFilterData/3[java.lang.String[],java.lang.String[],org.androidannotations.holder.RegisterAt]",registerAt,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,"IntentFilterData/3[java.lang.String[],java.lang.String[],org.androidannotations.holder.RegisterAt]",actionSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,getRegisterAt/0,registerAt,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,getDataSchemeSet/0,dataSchemeSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,getActionSet/0,actionSet,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,hashCode/0,dataSchemeSet,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,hashCode/0,actionSet,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,hashCode/0,registerAt,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,equals/1[java.lang.Object],dataSchemeSet,2
