file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,"IntentFilterData/3[java.lang.String[],java.lang.String[],org.androidannotations.holder.RegisterAt]",dataSchemes,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,"IntentFilterData/3[java.lang.String[],java.lang.String[],org.androidannotations.holder.RegisterAt]",actions,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,"IntentFilterData/3[java.lang.String[],java.lang.String[],org.androidannotations.holder.RegisterAt]",registerAt,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,hashCode/0,prime,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,hashCode/0,result,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,equals/1[java.lang.Object],other,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/holder/ReceiverRegistrationDelegate.java,org.androidannotations.holder.ReceiverRegistrationDelegate$IntentFilterData,equals/1[java.lang.Object],obj,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/internal/helper/AnnotationParamExtractor.java,org.androidannotations.internal.helper.AnnotationParamExtractor,"visitArray/2[java.util.List<? extends javax.lang.model.element.AnnotationValue>,java.lang.String]",p,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/internal/helper/AnnotationParamExtractor.java,org.androidannotations.internal.helper.AnnotationParamExtractor,"visitArray/2[java.util.List<? extends javax.lang.model.element.AnnotationValue>,java.lang.String]",vals,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/internal/helper/AnnotationParamExtractor.java,org.androidannotations.internal.helper.AnnotationParamExtractor,"visitArray/2[java.util.List<? extends javax.lang.model.element.AnnotationValue>,java.lang.String]",paramArray,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/internal/helper/AnnotationParamExtractor.java,org.androidannotations.internal.helper.AnnotationParamExtractor,"visitArray/2[java.util.List<? extends javax.lang.model.element.AnnotationValue>,java.lang.String]",annotationValue,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/internal/helper/AnnotationParamExtractor.java,org.androidannotations.internal.helper.AnnotationParamExtractor,"visitChar/2[char,java.lang.String]",p,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/androidannotations/AndroidAnnotations/androidannotations-core/androidannotations/src/main/java/org/androidannotations/internal/helper/AnnotationParamExtractor.java,org.androidannotations.internal.helper.AnnotationParamExtractor,"visitChar/2[char,java.lang.String]",c,1
