file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/psagent/matrix/transport/adapter/LongIndexGetRowsRequest.java,com.tencent.angel.psagent.matrix.transport.adapter.LongIndexGetRowsRequest,"LongIndexGetRowsRequest/4[int,int[],long[],com.tencent.angel.psagent.matrix.transport.adapter.InitFunc]",indices,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/psagent/matrix/transport/adapter/LongIndexGetRowsRequest.java,com.tencent.angel.psagent.matrix.transport.adapter.LongIndexGetRowsRequest,getIndices/0,indices,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/spark-on-angel/graph/src/main/java/com/tencent/angel/graph/common/psf/param/IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,getNodeIds/0,nodeIds,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/spark-on-angel/graph/src/main/java/com/tencent/angel/graph/common/psf/param/IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,split/0,nodeIds,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/spark-on-angel/graph/src/main/java/com/tencent/angel/graph/common/psf/param/IntKeysGetParam.java,com.tencent.angel.graph.common.psf.param.IntKeysGetParam,"IntKeysGetParam/2[int,int[]]",nodeIds,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/localcluster/LocalWorker.java,com.tencent.angel.localcluster.LocalWorker,run/0,LOG,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/localcluster/LocalWorker.java,com.tencent.angel.localcluster.LocalWorker,run/0,worker,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/localcluster/LocalWorker.java,com.tencent.angel.localcluster.LocalWorker,exit/0,worker,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/localcluster/LocalWorker.java,com.tencent.angel.localcluster.LocalWorker,"LocalWorker/7[com.tencent.angel.localcluster.Configuration,com.tencent.angel.localcluster.ApplicationId,java.lang.String,com.tencent.angel.localcluster.WorkerAttemptId,com.tencent.angel.localcluster.Location,int,boolean]",worker,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/localcluster/LocalWorker.java,com.tencent.angel.localcluster.LocalWorker,getWorker/0,worker,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/ps/storage/vector/storage/LongDoubleVectorStorage.java,com.tencent.angel.ps.storage.vector.storage.LongDoubleVectorStorage,exist/1[long],vector,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/ps/storage/vector/storage/LongDoubleVectorStorage.java,com.tencent.angel.ps.storage.vector.storage.LongDoubleVectorStorage,getVector/0,vector,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/angel/angel-ps/core/src/main/java/com/tencent/angel/ps/storage/vector/storage/LongDoubleVectorStorage.java,com.tencent.angel.ps.storage.vector.storage.LongDoubleVectorStorage,size/0,vector,1
