file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/codegen/model/decl/ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.model.decl.OutputModelFactory,java.lang.String,java.lang.String,boolean]",factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/codegen/model/decl/ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.model.decl.OutputModelFactory,java.lang.String,java.lang.String,boolean]",signature,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/codegen/model/decl/ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.model.decl.OutputModelFactory,java.lang.String,java.lang.String,boolean]",name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/codegen/model/decl/ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/4[org.antlr.v4.codegen.model.decl.OutputModelFactory,java.lang.String,java.lang.String,boolean]",ctxName,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/codegen/model/decl/ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/3[org.antlr.v4.codegen.model.decl.OutputModelFactory,java.lang.String,java.lang.String]",factory,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/codegen/model/decl/ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/3[org.antlr.v4.codegen.model.decl.OutputModelFactory,java.lang.String,java.lang.String]",name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/codegen/model/decl/ContextRuleListGetterDecl.java,org.antlr.v4.codegen.model.decl.ContextRuleListGetterDecl,"ContextRuleListGetterDecl/3[org.antlr.v4.codegen.model.decl.OutputModelFactory,java.lang.String,java.lang.String]",ctxName,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/automata/ATNFactory.java,org.antlr.v4.automata.ATNFactory$Handle,"Handle/2[org.antlr.v4.automata.ATNState,org.antlr.v4.automata.ATNState]",left,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool/src/org/antlr/v4/automata/ATNFactory.java,org.antlr.v4.automata.ATNFactory$Handle,"Handle/2[org.antlr.v4.automata.ATNState,org.antlr.v4.automata.ATNState]",right,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/antlr4/tool-testsuite/test/org/antlr/v4/test/tool/JavaUnicodeInputStream.java,org.antlr.v4.test.tool.JavaUnicodeInputStream,isHexDigit/1[int],c,6
