file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/service/CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",additionalUserInfoEnrichService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/service/CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"find/6[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,int,int]",commitAPI,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/service/CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",additionalUserInfoEnrichService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/service/CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"findByKey/7[java.lang.String,com.ctrip.framework.apollo.portal.environment.Env,java.lang.String,java.lang.String,java.lang.String,int,int]",commitAPI,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/service/CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"CommitService/2[com.ctrip.framework.apollo.portal.api.AdminServiceAPI.CommitAPI,com.ctrip.framework.apollo.portal.service.AdditionalUserInfoEnrichService]",additionalUserInfoEnrichService,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/service/CommitService.java,com.ctrip.framework.apollo.portal.service.CommitService,"CommitService/2[com.ctrip.framework.apollo.portal.api.AdminServiceAPI.CommitAPI,com.ctrip.framework.apollo.portal.service.AdditionalUserInfoEnrichService]",commitAPI,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-audit/apollo-audit-impl/src/test/java/com/ctrip/framework/apollo/audit/component/ApolloAuditScopeManagerTest.java,com.ctrip.framework.apollo.audit.component.ApolloAuditScopeManagerTest,testActivate/0,manager,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/controller/PageSettingController.java,com.ctrip.framework.apollo.portal.controller.PageSettingController,PageSettingController/1[com.ctrip.framework.apollo.portal.component.config.PortalConfig],portalConfig,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/portal/controller/PageSettingController.java,com.ctrip.framework.apollo.portal.controller.PageSettingController,getPageSetting/0,portalConfig,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/apollo/apollo-portal/src/main/java/com/ctrip/framework/apollo/openapi/filter/ConsumerAuthenticationFilter.java,com.ctrip.framework.apollo.openapi.filter.ConsumerAuthenticationFilter,"ConsumerAuthenticationFilter/2[com.ctrip.framework.apollo.openapi.util.ConsumerAuthUtil,com.ctrip.framework.apollo.openapi.util.ConsumerAuditUtil]",consumerAuthUtil,3
