file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/ArchiApplication.java,uk.ivanc.archimvp.ArchiApplication,setDefaultSubscribeScheduler/1[uk.ivanc.archimvp.Scheduler],scheduler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/ArchiApplication.java,uk.ivanc.archimvp.ArchiApplication,get/1[uk.ivanc.archimvp.Context],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/ArchiApplication.java,uk.ivanc.archimvp.ArchiApplication,setGithubService/1[uk.ivanc.archimvp.model.GithubService],githubService,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvvm/src/main/java/uk/ivanc/archimvvm/model/User.java,uk.ivanc.archimvvm.model.User$Anonymous1,newArray/1[int],size,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvvm/src/main/java/uk/ivanc/archimvvm/model/User.java,uk.ivanc.archimvvm.model.User$Anonymous1,createFromParcel/1[uk.ivanc.archimvvm.model.Parcel],source,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/User.java,uk.ivanc.archimvp.model.User,User/1[uk.ivanc.archimvp.model.Parcel],in,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/User.java,uk.ivanc.archimvp.model.User,hashCode/0,result,13
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/User.java,uk.ivanc.archimvp.model.User,equals/1[java.lang.Object],user,13
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/User.java,uk.ivanc.archimvp.model.User,equals/1[java.lang.Object],o,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/User.java,uk.ivanc.archimvp.model.User,"writeToParcel/2[uk.ivanc.archimvp.model.Parcel,int]",flags,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/User.java,uk.ivanc.archimvp.model.User,"writeToParcel/2[uk.ivanc.archimvp.model.Parcel,int]",dest,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app/src/main/java/uk/ivanc/archi/model/Repository.java,uk.ivanc.archi.model.Repository$Anonymous1,createFromParcel/1[uk.ivanc.archi.model.Parcel],source,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app/src/main/java/uk/ivanc/archi/model/Repository.java,uk.ivanc.archi.model.Repository$Anonymous1,newArray/1[int],size,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app/src/main/java/uk/ivanc/archi/model/GithubService.java,uk.ivanc.archi.model.GithubService$Factory,create/0,retrofit,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvvm/src/main/java/uk/ivanc/archimvvm/viewmodel/RepositoryViewModel.java,uk.ivanc.archimvvm.viewmodel.RepositoryViewModel$Anonymous1,call/1[uk.ivanc.archimvvm.model.User],user,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/GithubService.java,uk.ivanc.archimvp.model.GithubService,userFromUrl/1[java.lang.String],userUrl,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/model/GithubService.java,uk.ivanc.archimvp.model.GithubService,publicRepositories/1[java.lang.String],username,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/presenter/RepositoryPresenter.java,uk.ivanc.archimvp.presenter.RepositoryPresenter,attachView/1[uk.ivanc.archimvp.view.RepositoryMvpView],view,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/presenter/RepositoryPresenter.java,uk.ivanc.archimvp.presenter.RepositoryPresenter,loadOwner/1[java.lang.String],githubService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/presenter/RepositoryPresenter.java,uk.ivanc.archimvp.presenter.RepositoryPresenter,loadOwner/1[java.lang.String],application,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/presenter/RepositoryPresenter.java,uk.ivanc.archimvp.presenter.RepositoryPresenter,loadOwner/1[java.lang.String],userUrl,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app-mvp/src/main/java/uk/ivanc/archimvp/view/RepositoryMvpView.java,uk.ivanc.archimvp.view.RepositoryMvpView,showOwner/1[uk.ivanc.archimvp.model.User],owner,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/archi/app/src/main/java/uk/ivanc/archi/ArchiApplication.java,uk.ivanc.archi.ArchiApplication,setGithubService/1[uk.ivanc.archi.model.GithubService],githubService,2
