file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,testFindFirstTextToken/0,nonTextCliToken,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,testFindFirstTextToken/0,textCliToken,12
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,testFindSecondTextToken/0,nonTextCliToken,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,testFindSecondTextToken/0,textCliToken,10
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,newCliTokenList/1[com.taobao.arthas.core.shell.cli.CliToken[]],cliTokens,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,newCliTokenList/1[com.taobao.arthas.core.shell.cli.CliToken[]],tokens,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,testFindLastTextToken/0,nonTextCliToken,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/test/java/com/taobao/arthas/core/util/TokenUtilsTest.java,com.taobao.arthas.core.util.TokenUtilsTest,testFindLastTextToken/0,textCliToken,14
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/main/java/com/taobao/arthas/core/command/basic1000/HelpCommand.java,com.taobao.arthas.core.command.basic1000.HelpCommand,findCommand/1[java.util.List<com.taobao.arthas.core.shell.command.Command>],commands,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/arthas/core/src/main/java/com/taobao/arthas/core/command/basic1000/HelpCommand.java,com.taobao.arthas.core.command.basic1000.HelpCommand,findCommand/1[java.util.List<com.taobao.arthas.core.shell.command.Command>],command,2
