file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,setTimeout/1[long],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,"addListener/3[org.atmosphere.cpr.AsyncListener,org.atmosphere.cpr.ServletRequest,org.atmosphere.cpr.ServletResponse]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,"dispatch/2[org.atmosphere.cpr.ServletContext,java.lang.String]",context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,dispatch/0,context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,dispatch/1[java.lang.String],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,addListener/1[org.atmosphere.cpr.AsyncListener],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,getRequest/0,context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,start/1[java.lang.Runnable],context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,getTimeout/0,context,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,"CompletionAwareAsyncContext/2[org.atmosphere.cpr.AsyncContext,org.atmosphere.cpr.CompletionAware]",context,3
