file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/cpr/AtmosphereRequestTest.java,org.atmosphere.cpr.AtmosphereRequestTest$Anonymous4,onRequest/1[org.atmosphere.cpr.AtmosphereResource],resource,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/annotation/cache/ManagedAtmosphereHandlerTest.java,org.atmosphere.annotation.cache.ManagedAtmosphereHandlerTest$Anonymous2,getInitParameter/1[java.lang.String],name,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/cpr/AtmosphereRequestTest.java,org.atmosphere.cpr.AtmosphereRequestTest$Anonymous3,postInspect/1[org.atmosphere.cpr.AtmosphereResource],r,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/cpr/AtmosphereRequestTest.java,org.atmosphere.cpr.AtmosphereRequestTest$Anonymous3,inspect/1[org.atmosphere.cpr.AtmosphereResource],r,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/cpr/AtmosphereRequestTest.java,org.atmosphere.cpr.AtmosphereRequestTest$Anonymous3,configure/1[org.atmosphere.cpr.AtmosphereConfig],config,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/annotation/cache/ManagedAtmosphereHandlerTest.java,org.atmosphere.annotation.cache.ManagedAtmosphereHandlerTest$Anonymous1,action/1[org.atmosphere.cpr.AtmosphereResourceImpl],r,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/annotation/cache/ManagedAtmosphereHandlerTest.java,org.atmosphere.annotation.cache.ManagedAtmosphereHandlerTest$Anonymous1,action/1[org.atmosphere.cpr.AtmosphereResourceImpl],e,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/annotation/cache/ManagedAtmosphereHandlerTest.java,org.atmosphere.annotation.cache.ManagedAtmosphereHandlerTest$Anonymous1,"service/2[org.atmosphere.cpr.AtmosphereRequest,org.atmosphere.cpr.AtmosphereResponse]",res,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/annotation/cache/ManagedAtmosphereHandlerTest.java,org.atmosphere.annotation.cache.ManagedAtmosphereHandlerTest$Anonymous1,"service/2[org.atmosphere.cpr.AtmosphereRequest,org.atmosphere.cpr.AtmosphereResponse]",req,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/cpr/AtmosphereRequestTest.java,org.atmosphere.cpr.AtmosphereRequestTest$Anonymous2,onRequest/1[org.atmosphere.cpr.AtmosphereResource],resource,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/test/java/org/atmosphere/cpr/AtmosphereRequestTest.java,org.atmosphere.cpr.AtmosphereRequestTest$Anonymous1,getInitParameter/1[java.lang.String],name,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/container/JSR356Endpoint.java,org.atmosphere.container.JSR356Endpoint$Anonymous2,onMessage/1[ByteBuffer],bb,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/container/JSR356Endpoint.java,org.atmosphere.container.JSR356Endpoint$Anonymous2,onMessage/1[ByteBuffer],b,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/container/JSR356Endpoint.java,org.atmosphere.container.JSR356Endpoint$Anonymous1,onMessage/1[String],s,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,setTimeout/1[long],timeoutMilliseconds,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/atmosphere/modules/cpr/src/main/java/org/atmosphere/cpr/AtmosphereRequestImpl.java,org.atmosphere.cpr.AtmosphereRequestImpl$CompletionAwareAsyncContext,"addListener/3[org.atmosphere.cpr.AsyncListener,org.atmosphere.cpr.ServletRequest,org.atmosphere.cpr.ServletResponse]",request,1
