file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/sample/exampleui/src/main/java/imui/jiguang/cn/imuisample/views/photoview/VersionedGestureDetector.java,imui.jiguang.cn.imuisample.views.photoview.VersionedGestureDetector$EclairDetector,getActiveY/1[imui.jiguang.cn.imuisample.views.photoview.MotionEvent],mActivePointerIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/sample/exampleui/src/main/java/imui/jiguang/cn/imuisample/views/photoview/VersionedGestureDetector.java,imui.jiguang.cn.imuisample.views.photoview.VersionedGestureDetector$EclairDetector,onTouchEvent/1[imui.jiguang.cn.imuisample.views.photoview.MotionEvent],mActivePointerId,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/sample/exampleui/src/main/java/imui/jiguang/cn/imuisample/views/photoview/VersionedGestureDetector.java,imui.jiguang.cn.imuisample.views.photoview.VersionedGestureDetector$EclairDetector,onTouchEvent/1[imui.jiguang.cn.imuisample.views.photoview.MotionEvent],mActivePointerIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/sample/exampleui/src/main/java/imui/jiguang/cn/imuisample/views/photoview/VersionedGestureDetector.java,imui.jiguang.cn.imuisample.views.photoview.VersionedGestureDetector$EclairDetector,onTouchEvent/1[imui.jiguang.cn.imuisample.views.photoview.MotionEvent],INVALID_POINTER_ID,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/sample/exampleui/src/main/java/imui/jiguang/cn/imuisample/views/photoview/VersionedGestureDetector.java,imui.jiguang.cn.imuisample.views.photoview.VersionedGestureDetector$EclairDetector,getActiveX/1[imui.jiguang.cn.imuisample.views.photoview.MotionEvent],mActivePointerIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/chatinput/src/main/java/cn/jiguang/imui/chatinput/photo/SelectPhotoView.java,cn.jiguang.imui.chatinput.photo.SelectPhotoView,"init/2[cn.jiguang.imui.chatinput.photo.Context,cn.jiguang.imui.chatinput.photo.AttributeSet]",mRvPhotos,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/chatinput/src/main/java/cn/jiguang/imui/chatinput/photo/SelectPhotoView.java,cn.jiguang.imui.chatinput.photo.SelectPhotoView,"init/2[cn.jiguang.imui.chatinput.photo.Context,cn.jiguang.imui.chatinput.photo.AttributeSet]",mProgressBar,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/chatinput/src/main/java/cn/jiguang/imui/chatinput/photo/SelectPhotoView.java,cn.jiguang.imui.chatinput.photo.SelectPhotoView,"init/2[cn.jiguang.imui.chatinput.photo.Context,cn.jiguang.imui.chatinput.photo.AttributeSet]",mMediaHandler,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/chatinput/src/main/java/cn/jiguang/imui/chatinput/photo/SelectPhotoView.java,cn.jiguang.imui.chatinput.photo.SelectPhotoView,"init/2[cn.jiguang.imui.chatinput.photo.Context,cn.jiguang.imui.chatinput.photo.AttributeSet]",mContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora-imui/Android/chatinput/src/main/java/cn/jiguang/imui/chatinput/photo/SelectPhotoView.java,cn.jiguang.imui.chatinput.photo.SelectPhotoView,updateData/0,mFileItems,1
