file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/consumer/MaxWellConsumer.java,com.aurora.consumer.MaxWellConsumer,process/1[byte[]],elasticsearchMapper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,updateMenuIsHidden/1[com.aurora.model.vo.IsHiddenVO],menuMapper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,listMenus/1[com.aurora.model.vo.ConditionVO],menuMapper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,listMenuOptions/0,menuMapper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,deleteMenu/1[java.lang.Integer],roleMenuMapper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,deleteMenu/1[java.lang.Integer],menuMapper,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,listUserMenus/0,menuMapper,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/strategy/context/UploadStrategyContext.java,com.aurora.strategy.context.UploadStrategyContext,"executeUploadStrategy/3[java.lang.String,java.io.InputStream,java.lang.String]",uploadStrategyMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/strategy/context/UploadStrategyContext.java,com.aurora.strategy.context.UploadStrategyContext,"executeUploadStrategy/3[java.lang.String,java.io.InputStream,java.lang.String]",uploadMode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/strategy/context/UploadStrategyContext.java,com.aurora.strategy.context.UploadStrategyContext,"executeUploadStrategy/2[com.aurora.strategy.context.MultipartFile,java.lang.String]",uploadStrategyMap,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/strategy/context/UploadStrategyContext.java,com.aurora.strategy.context.UploadStrategyContext,"executeUploadStrategy/2[com.aurora.strategy.context.MultipartFile,java.lang.String]",uploadMode,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,getBlogBackInfo/0,auroraInfoService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,getBlogHomeInfo/0,auroraInfoService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,savePhotoAlbumCover/1[com.aurora.controller.MultipartFile],uploadStrategyContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,updateWebsiteConfig/1[com.aurora.model.vo.WebsiteConfigVO],auroraInfoService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,getWebsiteConfig/0,auroraInfoService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,report/0,auroraInfoService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,updateAbout/1[com.aurora.model.vo.AboutVO],auroraInfoService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/AuroraInfoController.java,com.aurora.controller.AuroraInfoController,getAbout/0,auroraInfoService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/util/PageUtil.java,com.aurora.util.PageUtil,remove/0,PAGE_HOLDER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/util/PageUtil.java,com.aurora.util.PageUtil,setCurrentPage/1[com.aurora.util.Page<?>],PAGE_HOLDER,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/util/PageUtil.java,com.aurora.util.PageUtil,getPage/0,PAGE_HOLDER,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/TalkController.java,com.aurora.controller.TalkController,saveOrUpdateTalk/1[com.aurora.model.vo.TalkVO],talkService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/TalkController.java,com.aurora.controller.TalkController,deleteTalks/1[java.util.List<java.lang.Integer>],talkService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/TalkController.java,com.aurora.controller.TalkController,getBackTalkById/1[java.lang.Integer],talkService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/TalkController.java,com.aurora.controller.TalkController,getTalkById/1[java.lang.Integer],talkService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/TalkController.java,com.aurora.controller.TalkController,listTalks/0,talkService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/TalkController.java,com.aurora.controller.TalkController,saveTalkImages/1[com.aurora.controller.MultipartFile],uploadStrategyContext,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/TalkController.java,com.aurora.controller.TalkController,listBackTalks/1[com.aurora.model.vo.ConditionVO],talkService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/filter/JwtAuthenticationTokenFilter.java,com.aurora.filter.JwtAuthenticationTokenFilter,"doFilterInternal/3[com.aurora.filter.HttpServletRequest,com.aurora.filter.HttpServletResponse,com.aurora.filter.FilterChain]",tokenService,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/enums/CommentTypeEnum.java,com.aurora.enums.CommentTypeEnum,getCommentEnum/1[java.lang.Integer],type,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/enums/CommentTypeEnum.java,com.aurora.enums.CommentTypeEnum,getCommentPath/1[java.lang.Integer],type,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/CommentController.java,com.aurora.controller.CommentController,listCommentBackDTO/1[com.aurora.model.vo.ConditionVO],commentService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/CommentController.java,com.aurora.controller.CommentController,deleteComments/1[java.util.List<java.lang.Integer>],commentService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/CommentController.java,com.aurora.controller.CommentController,getComments/1[com.aurora.model.vo.CommentVO],commentService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/CommentController.java,com.aurora.controller.CommentController,saveComment/1[com.aurora.model.vo.CommentVO],commentService,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/controller/CommentController.java,com.aurora.controller.CommentController,updateCommentsReview/1[com.aurora.model.vo.ReviewVO],commentService,1
