file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/consumer/MaxWellConsumer.java,com.aurora.consumer.MaxWellConsumer,process/1[byte[]],data,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/consumer/MaxWellConsumer.java,com.aurora.consumer.MaxWellConsumer,process/1[byte[]],maxwellDataDTO,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/consumer/MaxWellConsumer.java,com.aurora.consumer.MaxWellConsumer,process/1[byte[]],article,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,getMenuMap/1[java.util.List<com.aurora.entity.Menu>],item,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,getMenuMap/1[java.util.List<com.aurora.entity.Menu>],menus,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,updateMenuIsHidden/1[com.aurora.model.vo.IsHiddenVO],isHiddenVO,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,updateMenuIsHidden/1[com.aurora.model.vo.IsHiddenVO],menu,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,"convertUserMenuList/2[java.util.List<com.aurora.entity.Menu>,java.util.Map<java.lang.Integer,java.util.List<com.aurora.entity.Menu>>]",item,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,"convertUserMenuList/2[java.util.List<com.aurora.entity.Menu>,java.util.Map<java.lang.Integer,java.util.List<com.aurora.entity.Menu>>]",userMenuDTO,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,"convertUserMenuList/2[java.util.List<com.aurora.entity.Menu>,java.util.Map<java.lang.Integer,java.util.List<com.aurora.entity.Menu>>]",catalogList,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,"convertUserMenuList/2[java.util.List<com.aurora.entity.Menu>,java.util.Map<java.lang.Integer,java.util.List<com.aurora.entity.Menu>>]",children,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aurora/aurora-springboot/src/main/java/com/aurora/service/impl/MenuServiceImpl.java,com.aurora.service.impl.MenuServiceImpl,"convertUserMenuList/2[java.util.List<com.aurora.entity.Menu>,java.util.Map<java.lang.Integer,java.util.List<com.aurora.entity.Menu>>]",childrenMap,1
