file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/value/src/it/functional/src/test/java/com/google/auto/value/AutoValueTest.java,com.google.auto.value.AutoValueTest$ByteProperty,create/1[byte],byteProperty,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",declared,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",actuals,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",supertype,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",method,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",t,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",in,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",param,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",i,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",supers,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",formals,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",params,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"erasedParameterTypes/2[javax.lang.model.element.ExecutableElement,javax.lang.model.element.TypeElement]",element,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitTypeVariable/2[javax.lang.model.type.TypeVariable,java.lang.Void]",p,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitTypeVariable/2[javax.lang.model.type.TypeVariable,java.lang.Void]",t,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitTypeVariable/2[javax.lang.model.type.TypeVariable,java.lang.Void]",e,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitTypeVariable/2[javax.lang.model.type.TypeVariable,java.lang.Void]",element,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitArray/2[javax.lang.model.type.ArrayType,java.lang.Void]",p,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitArray/2[javax.lang.model.type.ArrayType,java.lang.Void]",t,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitDeclared/2[javax.lang.model.type.DeclaredType,java.lang.Void]",p,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/auto/common/src/main/java/com/google/auto/common/Overrides.java,com.google.auto.common.Overrides$ExplicitOverrides$TypeSubstVisitor,"visitDeclared/2[javax.lang.model.type.DeclaredType,java.lang.Void]",result,1
