file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,getLabel/0,label,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,setPc/1[int],pc,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,toString/0,sourceInfo,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,toString/0,pc,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,toString/0,label,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,"BranchUnlessIR/2[com.googlecode.aviator.code.interpreter.ir.Label,com.googlecode.aviator.code.interpreter.ir.SourceInfo]",sourceInfo,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,"BranchUnlessIR/2[com.googlecode.aviator.code.interpreter.ir.Label,com.googlecode.aviator.code.interpreter.ir.SourceInfo]",label,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,getPc/0,pc,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/main/java/com/googlecode/aviator/code/interpreter/ir/BranchUnlessIR.java,com.googlecode.aviator.code.interpreter.ir.BranchUnlessIR,eval/1[com.googlecode.aviator.code.interpreter.InterpretContext],pc,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/test/java/com/googlecode/aviator/runtime/function/string/StringLengthFunctionUnitTest.java,com.googlecode.aviator.runtime.function.string.StringLengthFunctionUnitTest,testCall/0,function,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/test/java/com/googlecode/aviator/runtime/function/string/StringLengthFunctionUnitTest.java,com.googlecode.aviator.runtime.function.string.StringLengthFunctionUnitTest,testIllegalArguments_zero/0,function,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/test/java/com/googlecode/aviator/runtime/function/string/StringLengthFunctionUnitTest.java,com.googlecode.aviator.runtime.function.string.StringLengthFunctionUnitTest,testClassCastError1/0,function,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aviatorscript/src/test/java/com/googlecode/aviator/runtime/function/string/StringLengthFunctionUnitTest.java,com.googlecode.aviator.runtime.function.string.StringLengthFunctionUnitTest,testIllegalArguments_Three/0,function,1
