file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/TreeNode.java,com.blankj.structure.TreeNode,TreeNode/1[int],val,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/TreeNode.java,com.blankj.structure.TreeNode,createTestData/1[java.lang.String],left,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/TreeNode.java,com.blankj.structure.TreeNode,createTestData/1[java.lang.String],right,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/TreeNode.java,com.blankj.structure.TreeNode,printSpace/1[int],space,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/TreeNode.java,com.blankj.structure.TreeNode,printNode/1[int],val,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/TreeNode.java,com.blankj.structure.TreeNode,printNode/1[int],space,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/Interval.java,com.blankj.structure.Interval,Interval/0,start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/Interval.java,com.blankj.structure.Interval,Interval/0,end,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/Interval.java,com.blankj.structure.Interval,"Interval/2[int,int]",start,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/Interval.java,com.blankj.structure.Interval,"Interval/2[int,int]",end,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0017/Solution.java,com.blankj.medium._017.Solution,letterCombinations/1[java.lang.String],map,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0543/Solution.java,com.blankj.easy._543.Solution,diameterOfBinaryTree/1[com.blankj.structure.TreeNode],max,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0543/Solution.java,com.blankj.easy._543.Solution,helper/1[com.blankj.structure.TreeNode],max,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/ListNode.java,com.blankj.structure.ListNode,createTestData/1[java.lang.String],next,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/structure/ListNode.java,com.blankj.structure.ListNode,ListNode/1[int],val,1
