file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0104/Solution.java,com.blankj.easy._104.Solution,maxDepth/1[com.blankj.structure.TreeNode],root,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0104/Solution.java,com.blankj.easy._104.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0104/Solution.java,com.blankj.easy._104.Solution,main/1[java.lang.String[]],solution,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0101/Solution.java,com.blankj.easy._101.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0101/Solution.java,com.blankj.easy._101.Solution,main/1[java.lang.String[]],solution,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0101/Solution.java,com.blankj.easy._101.Solution,isSymmetric/1[com.blankj.structure.TreeNode],q,9
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0101/Solution.java,com.blankj.easy._101.Solution,isSymmetric/1[com.blankj.structure.TreeNode],left,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0101/Solution.java,com.blankj.easy._101.Solution,isSymmetric/1[com.blankj.structure.TreeNode],root,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0101/Solution.java,com.blankj.easy._101.Solution,isSymmetric/1[com.blankj.structure.TreeNode],right,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0009/Solution.java,com.blankj.easy._009.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0009/Solution.java,com.blankj.easy._009.Solution,main/1[java.lang.String[]],solution,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0009/Solution.java,com.blankj.easy._009.Solution,isPalindrome/1[int],halfReverseX,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0009/Solution.java,com.blankj.easy._009.Solution,isPalindrome/1[int],x,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0107/Solution.java,com.blankj.easy._107.Solution,levelOrderBottom/1[com.blankj.structure.TreeNode],root,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0107/Solution.java,com.blankj.easy._107.Solution,levelOrderBottom/1[com.blankj.structure.TreeNode],list,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0107/Solution.java,com.blankj.easy._107.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0107/Solution.java,com.blankj.easy._107.Solution,main/1[java.lang.String[]],solution,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0107/Solution.java,com.blankj.easy._107.Solution,"helper/3[java.util.List<java.util.List<java.lang.Integer>>,com.blankj.structure.TreeNode,int]",level,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0107/Solution.java,com.blankj.easy._107.Solution,"helper/3[java.util.List<java.util.List<java.lang.Integer>>,com.blankj.structure.TreeNode,int]",root,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0107/Solution.java,com.blankj.easy._107.Solution,"helper/3[java.util.List<java.util.List<java.lang.Integer>>,com.blankj.structure.TreeNode,int]",list,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,main/1[java.lang.String[]],solution,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,"addBinary/2[java.lang.String,java.lang.String]",a,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,"addBinary/2[java.lang.String,java.lang.String]",p1,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,"addBinary/2[java.lang.String,java.lang.String]",b,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,"addBinary/2[java.lang.String,java.lang.String]",p2,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,"addBinary/2[java.lang.String,java.lang.String]",carry,11
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0067/Solution.java,com.blankj.easy._067.Solution,"addBinary/2[java.lang.String,java.lang.String]",sb,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0070/Solution.java,com.blankj.easy._070.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0070/Solution.java,com.blankj.easy._070.Solution,main/1[java.lang.String[]],solution,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0070/Solution.java,com.blankj.easy._070.Solution,climbStairs/1[int],a,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0070/Solution.java,com.blankj.easy._070.Solution,climbStairs/1[int],b,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0070/Solution.java,com.blankj.easy._070.Solution,climbStairs/1[int],n,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",c,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",l1,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",l2,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",ans,8
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",num1,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",i,17
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",j,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",l,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",c1,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",num2,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",c2,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,"multiply/2[java.lang.String,java.lang.String]",sb,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/medium/_0043/Solution.java,com.blankj.medium._043.Solution,main/1[java.lang.String[]],solution,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0119/Solution.java,com.blankj.easy._119.Solution,getRow/1[int],res,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0119/Solution.java,com.blankj.easy._119.Solution,getRow/1[int],i,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0119/Solution.java,com.blankj.easy._119.Solution,getRow/1[int],rowIndex,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0119/Solution.java,com.blankj.easy._119.Solution,getRow/1[int],j,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0119/Solution.java,com.blankj.easy._119.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0119/Solution.java,com.blankj.easy._119.Solution,main/1[java.lang.String[]],solution,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0058/Solution.java,com.blankj.easy._058.Solution,main/1[java.lang.String[]],args,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-java-leetcode/src/com/blankj/easy/_0058/Solution.java,com.blankj.easy._058.Solution,main/1[java.lang.String[]],solution,2
