file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,getPaidBy/0,paidBy,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,getAmount/0,amount,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,getSplits/0,splits,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,getId/0,id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",amount,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",splits,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",paidBy,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",description,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,addSplit/1[splitwise.splittype.Split],splits,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,getDescription/0,description,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,getNewPositionAfterSnakeOrLadder/1[int],ladders,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,getNewPositionAfterSnakeOrLadder/1[int],snakes,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,initializeSnakesAndLadders/0,ladders,7
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,initializeSnakesAndLadders/0,snakes,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,getBoardSize/0,BOARD_SIZE,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,Board/0,ladders,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,Board/0,snakes,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,addExpense/1[splitwise.Expense],expenses,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,getName/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,getExpenses/0,expenses,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,"Group/2[java.lang.String,java.lang.String]",members,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,"Group/2[java.lang.String,java.lang.String]",name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,"Group/2[java.lang.String,java.lang.String]",id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,"Group/2[java.lang.String,java.lang.String]",expenses,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,getId/0,id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,addMember/1[splitwise.User],members,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,getMembers/0,members,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/design-patterns/java/adapter/AudioPlayer.java,AudioPlayer,"play/2[java.lang.String,java.lang.String]",mediaAdapter,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/atm/Transaction.java,atm.Transaction,"Transaction/3[java.lang.String,atm.Account,double]",amount,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/atm/Transaction.java,atm.Transaction,"Transaction/3[java.lang.String,atm.Account,double]",transactionId,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/atm/Transaction.java,atm.Transaction,"Transaction/3[java.lang.String,atm.Account,double]",account,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,isAvailable/1[int],quantity,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,getPrice/0,price,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,getName/0,name,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,"Product/5[java.lang.String,java.lang.String,java.lang.String,double,int]",quantity,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,"Product/5[java.lang.String,java.lang.String,java.lang.String,double,int]",price,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,"Product/5[java.lang.String,java.lang.String,java.lang.String,double,int]",name,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,"Product/5[java.lang.String,java.lang.String,java.lang.String,double,int]",description,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,"Product/5[java.lang.String,java.lang.String,java.lang.String,double,int]",id,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,getId/0,id,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,getQuantity/0,quantity,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,updateQuantity/1[int],quantity,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,getDescription/0,description,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/parkinglot/Level.java,parkinglot.Level,"Level/2[int,int]",parkingSpots,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/parkinglot/Level.java,parkinglot.Level,"Level/2[int,int]",floor,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/parkinglot/Level.java,parkinglot.Level,unparkVehicle/1[parkinglot.vehicletype.Vehicle],parkingSpots,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/parkinglot/Level.java,parkinglot.Level,displayAvailability/0,parkingSpots,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/parkinglot/Level.java,parkinglot.Level,displayAvailability/0,floor,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/parkinglot/Level.java,parkinglot.Level,parkVehicle/1[parkinglot.vehicletype.Vehicle],parkingSpots,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/vendingmachine/IdleState.java,vendingmachine.IdleState,IdleState/1[vendingmachine.VendingMachine],vendingMachine,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/vendingmachine/IdleState.java,vendingmachine.IdleState,selectProduct/1[vendingmachine.Product],vendingMachine,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlinestockbrokeragesystem/Stock.java,onlinestockbrokeragesystem.Stock,"Stock/3[java.lang.String,java.lang.String,double]",symbol,3
