file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",amount,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",paidBy,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",description,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,"Expense/4[java.lang.String,double,java.lang.String,splitwise.User]",id,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Expense.java,splitwise.Expense,addSplit/1[splitwise.splittype.Split],split,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,getNewPositionAfterSnakeOrLadder/1[int],ladder,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,getNewPositionAfterSnakeOrLadder/1[int],snake,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/snakeandladdergame/Board.java,snakeandladdergame.Board,getNewPositionAfterSnakeOrLadder/1[int],position,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,addExpense/1[splitwise.Expense],expense,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,"Group/2[java.lang.String,java.lang.String]",name,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,"Group/2[java.lang.String,java.lang.String]",id,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/splitwise/Group.java,splitwise.Group,addMember/1[splitwise.User],user,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/design-patterns/java/facade/Memory.java,Memory,"load/2[long,byte[]]",data,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/design-patterns/java/facade/Memory.java,Memory,"load/2[long,byte[]]",position,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/design-patterns/java/adapter/AudioPlayer.java,AudioPlayer,"play/2[java.lang.String,java.lang.String]",fileName,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/design-patterns/java/adapter/AudioPlayer.java,AudioPlayer,"play/2[java.lang.String,java.lang.String]",audioType,6
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/atm/Transaction.java,atm.Transaction,"Transaction/3[java.lang.String,atm.Account,double]",amount,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/atm/Transaction.java,atm.Transaction,"Transaction/3[java.lang.String,atm.Account,double]",transactionId,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/atm/Transaction.java,atm.Transaction,"Transaction/3[java.lang.String,atm.Account,double]",account,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,isAvailable/1[int],quantity,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-low-level-design/solutions/java/src/onlineshopping/Product.java,onlineshopping.Product,"Product/5[java.lang.String,java.lang.String,java.lang.String,double,int]",quantity,2
