file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,allowRequest/0,requestLog,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,allowRequest/0,maxRequestsPerWindow,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,allowRequest/0,windowSizeInSeconds,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,"SlidingWindowLog/2[long,long]",requestLog,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,"SlidingWindowLog/2[long,long]",maxRequestsPerWindow,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,"SlidingWindowLog/2[long,long]",windowSizeInSeconds,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,"TokenBucket/2[long,double]",lastRefillTimestamp,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,"TokenBucket/2[long,double]",fillRate,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,"TokenBucket/2[long,double]",tokens,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,"TokenBucket/2[long,double]",capacity,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,allowRequest/1[int],tokens,5
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,refill/0,lastRefillTimestamp,2
