file,class,method,variable,usage
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,allowRequest/0,windowStart,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,allowRequest/0,now,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,"SlidingWindowLog/2[long,long]",maxRequestsPerWindow,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowLog.java,implementations.java.rate_limiting.SlidingWindowLog,"SlidingWindowLog/2[long,long]",windowSizeInSeconds,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,"TokenBucket/2[long,double]",fillRate,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,"TokenBucket/2[long,double]",capacity,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,allowRequest/1[int],tokens,4
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,refill/0,tokensToAdd,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/TokenBucket.java,implementations.java.rate_limiting.TokenBucket,refill/0,now,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/LeakyBucket.java,implementations.java.rate_limiting.LeakyBucket,"LeakyBucket/2[long,double]",leakRate,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/LeakyBucket.java,implementations.java.rate_limiting.LeakyBucket,"LeakyBucket/2[long,double]",capacity,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/LeakyBucket.java,implementations.java.rate_limiting.LeakyBucket,leak/0,now,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/LeakyBucket.java,implementations.java.rate_limiting.LeakyBucket,leak/0,i,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/LeakyBucket.java,implementations.java.rate_limiting.LeakyBucket,leak/0,leakedItems,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/LeakyBucket.java,implementations.java.rate_limiting.LeakyBucket,leak/0,elapsedMillis,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowCounter.java,implementations.java.rate_limiting.SlidingWindowCounter,"SlidingWindowCounter/2[long,long]",maxRequestsPerWindow,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowCounter.java,implementations.java.rate_limiting.SlidingWindowCounter,"SlidingWindowCounter/2[long,long]",windowSizeInSeconds,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowCounter.java,implementations.java.rate_limiting.SlidingWindowCounter,allowRequest/0,weightedCount,1
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowCounter.java,implementations.java.rate_limiting.SlidingWindowCounter,allowRequest/0,now,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/SlidingWindowCounter.java,implementations.java.rate_limiting.SlidingWindowCounter,allowRequest/0,timePassedInWindow,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/FixedWindowCounter.java,implementations.java.rate_limiting.FixedWindowCounter,allowRequest/0,now,3
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/FixedWindowCounter.java,implementations.java.rate_limiting.FixedWindowCounter,"FixedWindowCounter/2[long,long]",maxRequestsPerWindow,2
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/awesome-system-design-resources/implementations/java/rate_limiting/FixedWindowCounter.java,implementations.java.rate_limiting.FixedWindowCounter,"FixedWindowCounter/2[long,long]",windowSizeInSeconds,2
