file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/s3/src/main/java/aws/example/s3/CopyObjectSingleOperation.java,CopyObjectSingleOperation,class,4,4,0,4,3,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,1,0,3,0,6,0,6,1,0,0,0,36,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/mq/src/test/java/AmazonMQTest.java,AmazonMQTest,class,17,18,1,17,10,1,0,19,0,0.64285713,1.0,1.0,8,1,8,0,0,0,8,0,0,0,7,7,0,7,0,0,0,0,6,63,1,0,1,1,0,19,7,20,0,15,2,0,0,0,45,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/iam/src/main/java/com/example/iam/CreateAccountAlias.java,com.example.iam.CreateAccountAlias,class,4,5,1,4,4,1,0,12,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,1,1,0,2,4,5,1,5,1,0,0,0,45,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/VideoStreamService.java,com.example.VideoStreamService,class,21,23,2,21,19,1,0,62,28,0.875,0.0,0.0,8,1,3,5,0,0,3,0,0,0,1,1,1,0,0,0,1,0,7,135,12,4,2,7,1,11,11,37,7,39,4,0,0,2,100,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/lookoutvision/src/main/java/com/example/lookoutvision/ListProjects.java,com.example.lookoutvision.ListProjects,class,4,5,1,4,4,1,0,19,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,5,25,0,1,1,1,0,9,3,4,1,4,2,0,0,0,23,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/ssm/src/main/java/aws/example/ssm/GetSimpleSystemsManagementParas.java,aws.example.ssm.GetSimpleSystemsManagementParas,class,4,4,0,4,3,1,0,13,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1,0,1,0,0,1,6,0,6,2,0,0,0,28,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/iam/src/main/java/aws/example/iam/DetachRolePolicy.java,aws.example.iam.DetachRolePolicy,class,3,3,0,3,2,1,0,6,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0,0,4,4,6,2,6,1,0,0,0,29,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/datamodeling/DynamoDBMapperQueryScanExample.java,com.amazonaws.codesamples.datamodeling.DynamoDBMapperQueryScanExample$Reply,innerclass,4,4,0,4,8,1,0,0,20,0.75,0.14285715,0.14285715,8,0,8,0,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,30,4,0,0,0,0,5,0,4,0,4,0,0,0,0,16,9,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/bedrock-runtime/src/main/java/com/example/bedrockruntime/models/amazonTitanText/Converse.java,com.example.bedrockruntime.models.amazonTitanText.Converse,class,2,4,2,2,3,1,0,23,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,1,0,3,4,6,0,8,1,0,0,2,30,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/creating_fsa_app/src/main/java/com/example/fsa/services/TranslateService.java,com.example.fsa.services.TranslateService,class,5,8,3,5,4,1,0,13,1,0.5,NaN,NaN,2,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,21,2,0,1,1,0,1,0,4,0,4,1,0,0,0,16,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/gsg/MoviesCreateTable.java,com.amazonaws.codesamples.gsg.MoviesCreateTable,class,7,7,0,7,2,1,0,11,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,1,0,10,2,4,1,4,1,0,0,0,26,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/s3/src/main/java/aws/example/s3/RestoreArchivedObject.java,RestoreArchivedObject,class,5,5,0,5,4,1,0,9,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,5,1,7,0,7,1,0,0,0,38,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/support/src/main/java/com/example/support/HelloSupport.java,com.example.support.HelloSupport,class,7,8,1,7,6,1,0,13,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,30,0,2,1,1,0,5,3,7,2,7,3,0,0,0,72,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/rekognition/src/main/java/com/example/rekognition/DetectModerationLabels.java,com.example.rekognition.DetectModerationLabels,class,8,9,1,8,5,1,0,19,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,32,0,1,0,1,0,5,5,10,1,10,2,0,0,0,56,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/java/example_code/dynamodb/src/main/java/com/amazonaws/codesamples/lowlevel/LowLevelQuery.java,com.amazonaws.codesamples.lowlevel.LowLevelQuery,class,7,8,1,7,21,1,0,36,8,0.375,NaN,NaN,8,8,1,7,0,0,1,0,0,0,2,2,0,0,0,2,0,0,14,90,1,7,7,0,12,36,16,39,15,38,2,0,0,0,101,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/cloudwatch/src/main/java/com/example/cloudwatch/DeleteAlarm.java,com.example.cloudwatch.DeleteAlarm,class,4,5,1,4,4,1,0,13,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1,1,0,1,4,5,0,5,1,0,0,0,45,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/swf/src/main/java/com/example/helloswf/ActivityWorkerWithGracefulShutdown.java,com.example.helloswf.ActivityWorkerWithGracefulShutdown,class,4,5,1,4,7,1,0,26,3,0.6666667,0.0,0.0,3,3,2,1,0,0,2,0,0,0,2,2,0,2,0,0,0,0,4,59,1,1,2,1,0,17,5,12,6,11,3,1,0,0,77,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/creating_first_project/src/main/java/com/example/GreetingApplication.java,com.example.GreetingApplication,class,2,3,1,2,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/example_code/connect/src/main/java/com/example/connect/DeleteInstance.java,com.example.connect.DeleteInstance,class,4,5,1,4,4,1,0,11,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,24,0,0,1,1,0,1,4,5,0,5,1,0,0,0,42,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/creating_dynamodb_web_app/src/main/java/com/aws/rest/Work.java,com.aws.rest.Work,class,3,4,1,3,15,1,0,0,87,0.8571429,0.08571429,0.08571429,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,0,0,0,54,8,0,0,0,0,0,0,7,0,7,0,0,0,0,18,1,0
/home/leticiafraga/LAB/qualidade-sistemas-java/./repos/aws-doc-sdk-examples/javav2/usecases/create_spring_stream_app/src/main/java/com/example/Application.java,com.example.Application,class,3,4,1,3,1,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
